Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
05/10/2023 23:45:00;    77;;; 204.6;//////; 922.8; 25.8;13.1;  1168
06/10/2023 00:00:00;    77;;; 204.6;//////; 922.8; 25.8;13.1;  1168
06/10/2023 00:15:00;    77;;; 204.6;//////; 922.8; 25.8;13.1;  1168
06/10/2023 00:30:00;    77;;; 204.6;//////; 922.8; 25.8;13.1;  1168
06/10/2023 00:45:00;    77;;; 204.6;//////; 923.4; 25.3;13.0;  1168
06/10/2023 01:00:00;    77;;; 204.6;//////; 923.4; 25.3;13.0;  1168
06/10/2023 01:15:00;    78;;; 204.6;//////; 923.4; 25.3;13.0;  1168
06/10/2023 01:30:00;    77;;; 204.6;//////; 923.4; 25.3;13.0;  1168
06/10/2023 01:45:00;    76;;; 204.6;//////; 923.1; 24.5;13.0;  1168
06/10/2023 02:00:00;    77;;; 204.6;//////; 923.1; 24.5;13.0;  1168
06/10/2023 02:15:00;    78;;; 204.6;//////; 923.1; 24.5;13.0;  1168
06/10/2023 02:30:00;    76;;; 204.6;//////; 923.1; 24.5;13.0;  1168
06/10/2023 02:45:00;    77;;; 204.6;//////; 924.0; 23.7;13.0;  1168
06/10/2023 03:00:00;    77;;; 206.2;//////; 924.0; 23.7;13.0;  1168
06/10/2023 03:15:00;    76;;; 209.4;//////; 924.0; 23.7;13.0;  1168
06/10/2023 03:30:00;    77;;; 209.4;//////; 924.0; 23.7;13.0;  1168
06/10/2023 03:45:00;    77;;; 209.4;//////; 924.3; 21.8;13.0;  1168
06/10/2023 04:00:00;    77;;; 209.4;//////; 924.3; 21.8;13.0;  1168
06/10/2023 04:15:00;    80;;; 209.6;//////; 924.3; 21.8;13.0;  1168
06/10/2023 04:30:00;    84;;; 215.2;//////; 924.3; 21.8;13.0;  1168
06/10/2023 04:45:00;    86;;; 228.0;//////; 925.1; 21.5;13.0;  1168
06/10/2023 05:00:00;    88;;; 237.8;//////; 925.1; 21.5;13.0;  1168
06/10/2023 05:15:00;    86;;; 243.6;//////; 925.1; 21.5;13.0;  1168
06/10/2023 05:30:00;    86;;; 243.8;//////; 925.1; 21.5;13.0;  1168
06/10/2023 05:45:00;    86;;; 244.0;//////; 925.6; 21.5;12.9;  1168
06/10/2023 06:00:00;    85;;; 244.0;//////; 925.6; 21.5;12.9;  1168
06/10/2023 06:15:00;    86;;; 244.2;//////; 925.6; 21.5;12.9;  1168
06/10/2023 06:30:00;    85;;; 244.2;//////; 925.6; 21.5;12.9;  1168
06/10/2023 06:45:00;    86;;; 244.4;//////; 926.5; 21.4;12.9;  1168
06/10/2023 07:00:00;    84;;; 244.4;//////; 926.5; 21.4;12.9;  1168
06/10/2023 07:15:00;    85;;; 244.4;//////; 926.5; 21.4;12.9;  1168
06/10/2023 07:30:00;    85;;; 244.4;//////; 926.5; 21.4;12.9;  1168
06/10/2023 07:45:00;    85;;; 244.4;//////; 927.0; 21.7;13.3;  1168
06/10/2023 08:00:00;    87;;; 244.4;//////; 927.0; 21.7;13.3;  1168
06/10/2023 08:15:00;    87;;; 244.4;//////; 927.0; 21.7;13.3;  1168
06/10/2023 08:30:00;    85;;; 244.4;//////; 927.0; 21.7;13.3;  1168
06/10/2023 08:45:00;    87;;; 244.4;//////; 926.3; 24.4;14.2;  1168
06/10/2023 09:00:00;    87;;; 244.4;//////; 926.3; 24.4;14.2;  1168
06/10/2023 09:15:00;    86;;; 244.4;//////; 926.3; 24.4;14.2;  1168
06/10/2023 09:30:00;    86;;; 244.4;//////; 926.3; 24.4;14.2;  1168
06/10/2023 09:45:00;    87;;; 244.4;//////; 926.1; 28.8;14.2;  1168
06/10/2023 10:00:00;    88;;; 244.4;//////; 926.1; 28.8;14.2;  1168
06/10/2023 10:15:00;    87;;; 244.4;//////; 926.1; 28.8;14.2;  1168
06/10/2023 10:30:00;    88;;; 244.6;//////; 926.1; 28.8;14.2;  1168
06/10/2023 10:45:00;    88;;; 244.6;//////; 925.9; 32.5;14.1;  1168
06/10/2023 11:00:00;    89;;; 244.6;//////; 925.9; 32.5;14.1;  1168
06/10/2023 11:15:00;    88;;; 244.6;//////; 925.9; 32.5;14.1;  1168
06/10/2023 11:30:00;    90;;; 244.6;//////; 925.9; 32.5;14.1;  1168
06/10/2023 11:45:00;    88;;; 244.6;//////; 925.1; 34.2;14.0;  1168
06/10/2023 12:00:00;    88;;; 244.6;//////; 925.1; 34.2;14.0;  1168
06/10/2023 12:15:00;    89;;; 244.6;//////; 925.1; 34.2;14.0;  1168
06/10/2023 12:30:00;    90;;; 244.6;//////; 925.1; 34.2;14.0;  1168
06/10/2023 12:45:00;    90;;; 244.6;//////; 924.1; 33.5;14.0;  1168
06/10/2023 13:00:00;    90;;; 244.6;//////; 924.1; 33.5;14.0;  1168
06/10/2023 13:15:00;    91;;; 244.6;//////; 924.1; 33.5;14.0;  1168
06/10/2023 13:30:00;    90;;; 244.6;//////; 924.1; 33.5;14.0;  1168
06/10/2023 13:45:00;    90;;; 244.6;//////; 923.2; 34.8;14.0;  1168
06/10/2023 14:00:00;    91;;; 244.6;//////; 923.2; 34.8;14.0;  1168
06/10/2023 14:15:00;    91;;; 244.6;//////; 923.2; 34.8;14.0;  1168
06/10/2023 14:30:00;    91;;; 244.6;//////; 923.2; 34.8;14.0;  1168
06/10/2023 14:45:00;    91;;; 244.6;//////; 922.4; 36.0;13.7;  1168
06/10/2023 15:00:00;    93;;; 244.6;//////; 922.4; 36.0;13.7;  1168
06/10/2023 15:15:00;    93;;; 244.6;//////; 922.4; 36.0;13.7;  1168
06/10/2023 15:30:00;    96;;; 244.6;//////; 922.4; 36.0;13.7;  1168
06/10/2023 15:45:00;    97;;; 244.6;//////; 922.4; 33.5;13.6;  1168
06/10/2023 16:00:00;    99;;; 244.6;//////; 922.4; 33.5;13.6;  1168
06/10/2023 16:15:00;   102;;; 244.6;//////; 922.4; 33.5;13.6;  1168
06/10/2023 16:30:00;   103;;; 244.6;//////; 922.4; 33.5;13.6;  1168
06/10/2023 16:45:00;   107;;; 244.6;//////; 923.5; 24.8;13.2;  1168
06/10/2023 17:00:00;   109;;; 244.6;//////; 923.5; 24.8;13.2;  1168
06/10/2023 17:15:00;   109;;; 244.6;//////; 923.5; 24.8;13.2;  1168
06/10/2023 17:30:00;   117;;; 244.6;//////; 923.5; 24.8;13.2;  1168
06/10/2023 17:45:00;   118;;; 254.0;//////; 924.3; 24.1;13.2;  1168
06/10/2023 18:00:00;   122;;; 268.8;//////; 924.3; 24.1;13.2;  1168
06/10/2023 18:15:00;   123;;; 273.4;//////; 924.3; 24.1;13.2;  1168
06/10/2023 18:30:00;   125;;; 276.2;//////; 924.3; 24.1;13.2;  1168
06/10/2023 18:45:00;   126;;; 276.4;//////; 924.7; 23.8;13.1;  1168
06/10/2023 19:00:00;   127;;; 276.6;//////; 924.7; 23.8;13.1;  1168
06/10/2023 19:15:00;   128;;; 276.6;//////; 924.7; 23.8;13.1;  1168
06/10/2023 19:30:00;   129;;; 276.6;//////; 924.7; 23.8;13.1;  1168
06/10/2023 19:45:00;   129;;; 276.6;//////; 925.4; 23.3;13.1;  1168
06/10/2023 20:00:00;   130;;; 276.6;//////; 925.4; 23.3;13.1;  1168
06/10/2023 20:15:00;   131;;; 276.6;//////; 925.4; 23.3;13.1;  1168
06/10/2023 20:30:00;   131;;; 276.6;//////; 925.4; 23.3;13.1;  1168
06/10/2023 20:45:00;   133;;; 276.6;//////; 926.3; 23.2;13.1;  1168
06/10/2023 21:00:00;   132;;; 276.6;//////; 926.3; 23.2;13.1;  1168
06/10/2023 21:15:00;   132;;; 276.6;//////; 926.3; 23.2;13.1;  1168
06/10/2023 21:30:00;   134;;; 276.6;//////; 926.3; 23.2;13.1;  1168
06/10/2023 21:45:00;   132;;; 276.6;//////; 926.5; 22.8;13.1;  1168
06/10/2023 22:00:00;   133;;; 276.6;//////; 926.5; 22.8;13.1;  1168
06/10/2023 22:15:00;   132;;; 276.6;//////; 926.5; 22.8;13.1;  1168
06/10/2023 22:30:00;   133;;; 276.6;//////; 926.5; 22.8;13.1;  1168
06/10/2023 22:45:00;   133;;; 276.6;//////; 926.8; 22.6;13.1;  1168
06/10/2023 23:00:00;   132;;; 276.6;//////; 926.8; 22.6;13.1;  1168
06/10/2023 23:15:00;   133;;; 276.6;//////; 926.8; 22.6;13.1;  1168
06/10/2023 23:30:00;   132;;; 276.6;//////; 926.8; 22.6;13.1;  1168
06/10/2023 23:45:00;   132;;; 276.6;//////; 926.0; 22.4;13.0;  1168
07/10/2023 00:00:00;   130;;; 276.6;//////; 926.0; 22.4;13.0;  1168
07/10/2023 00:15:00;   131;;; 276.6;//////; 926.0; 22.4;13.0;  1168
07/10/2023 00:30:00;   131;;; 276.6;//////; 926.0; 22.4;13.0;  1168
07/10/2023 00:45:00;   130;;; 276.6;//////; 925.5; 22.1;13.0;  1168
07/10/2023 01:00:00;   129;;; 276.6;//////; 925.5; 22.1;13.0;  1168
07/10/2023 01:15:00;   129;;; 276.6;//////; 925.5; 22.1;13.0;  1168
07/10/2023 01:30:00;   128;;; 276.6;//////; 925.5; 22.1;13.0;  1168
07/10/2023 01:45:00;   127;;; 276.6;//////; 924.9; 22.1;13.0;  1168
07/10/2023 02:00:00;   127;;; 276.6;//////; 924.9; 22.1;13.0;  1168
07/10/2023 02:15:00;   126;;; 276.6;//////; 924.9; 22.1;13.0;  1168
07/10/2023 02:30:00;   126;;; 276.6;//////; 924.9; 22.1;13.0;  1168
07/10/2023 02:45:00;   126;;; 276.6;//////; 924.3; 21.9;13.0;  1168
07/10/2023 03:00:00;   124;;; 276.6;//////; 924.3; 21.9;13.0;  1168
07/10/2023 03:15:00;   123;;; 276.6;//////; 924.3; 21.9;13.0;  1168
07/10/2023 03:30:00;   123;;; 276.6;//////; 924.3; 21.9;13.0;  1168
07/10/2023 03:45:00;   122;;; 276.6;//////; 924.6; 21.6;13.0;  1168
07/10/2023 04:00:00;   121;;; 276.6;//////; 924.6; 21.6;13.0;  1168
07/10/2023 04:15:00;   121;;; 276.6;//////; 924.6; 21.6;13.0;  1168
07/10/2023 04:30:00;   120;;; 276.6;//////; 924.6; 21.6;13.0;  1168
07/10/2023 04:45:00;   119;;; 276.6;//////; 925.0; 21.4;12.9;  1168
07/10/2023 05:00:00;   118;;; 276.6;//////; 925.0; 21.4;12.9;  1168
07/10/2023 05:15:00;   118;;; 276.6;//////; 925.0; 21.4;12.9;  1168
07/10/2023 05:30:00;   117;;; 276.6;//////; 925.0; 21.4;12.9;  1168
07/10/2023 05:45:00;   117;;; 276.6;//////; 926.0; 21.2;12.9;  1168
07/10/2023 06:00:00;   116;;; 276.6;//////; 926.0; 21.2;12.9;  1168
07/10/2023 06:15:00;   117;;; 276.6;//////; 926.0; 21.2;12.9;  1168
07/10/2023 06:30:00;   117;;; 276.8;//////; 926.0; 21.2;12.9;  1168
07/10/2023 06:45:00;   116;;; 276.8;//////; 926.6; 21.5;13.2;  1168
07/10/2023 07:00:00;   116;;; 276.8;//////; 926.6; 21.5;13.2;  1168
07/10/2023 07:15:00;   116;;; 276.8;//////; 926.6; 21.5;13.2;  1168
07/10/2023 07:30:00;   117;;; 276.8;//////; 926.6; 21.5;13.2;  1168
07/10/2023 07:45:00;   117;;; 276.8;//////; 927.4; 24.9;14.1;  1168
07/10/2023 08:00:00;   118;;; 276.8;//////; 927.4; 24.9;14.1;  1168
07/10/2023 08:15:00;   119;;; 276.8;//////; 927.4; 24.9;14.1;  1168
07/10/2023 08:30:00;   120;;; 276.8;//////; 927.4; 24.9;14.1;  1168
07/10/2023 08:45:00;   121;;; 276.8;//////; 927.3; 28.6;14.2;  1168
07/10/2023 09:00:00;   122;;; 276.8;//////; 927.3; 28.6;14.2;  1168
07/10/2023 09:15:00;   123;;; 276.8;//////; 927.3; 28.6;14.2;  1168
07/10/2023 09:30:00;   124;;; 276.8;//////; 927.3; 28.6;14.2;  1168
07/10/2023 09:45:00;   125;;; 276.8;//////; 927.0; 29.6;14.1;  1168
07/10/2023 10:00:00;   126;;; 276.8;//////; 927.0; 29.6;14.1;  1168
07/10/2023 10:15:00;   127;;; 276.8;//////; 927.0; 29.6;14.1;  1168
07/10/2023 10:30:00;   127;;; 276.8;//////; 927.0; 29.6;14.1;  1168
07/10/2023 10:45:00;   129;;; 276.8;//////; 926.5; 31.3;14.1;  1168
07/10/2023 11:00:00;   130;;; 276.8;//////; 926.5; 31.3;14.1;  1168
07/10/2023 11:15:00;   132;;; 276.8;//////; 926.5; 31.3;14.1;  1168
07/10/2023 11:30:00;   133;;; 276.8;//////; 926.5; 31.3;14.1;  1168
