Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
06/10/2023 00:00:00;   166;;;  56.0;/////; 992.0; 30.3;12.9;  2311
06/10/2023 00:15:00;   167;;;  56.0;/////; 992.0; 30.3;12.9;  2311
06/10/2023 00:30:00;   167;;;  56.0;/////; 992.0; 30.3;12.9;  2311
06/10/2023 00:45:00;   166;;;  56.0;/////; 992.0; 30.3;12.9;  2311
06/10/2023 01:00:00;   167;;;  56.0;/////; 991.6; 30.0;12.9;  2311
06/10/2023 01:15:00;   166;;;  56.0;/////; 991.6; 30.0;12.9;  2311
06/10/2023 01:30:00;   166;;;  56.0;/////; 991.6; 30.0;12.9;  2311
06/10/2023 01:45:00;   165;;;  56.0;/////; 991.6; 30.0;12.9;  2311
06/10/2023 02:00:00;   166;;;  56.0;/////; 991.2; 29.4;12.9;  2311
06/10/2023 02:15:00;   165;;;  56.0;/////; 991.2; 29.4;12.9;  2311
06/10/2023 02:30:00;   166;;;  56.0;/////; 991.2; 29.4;12.9;  2311
06/10/2023 02:45:00;   166;;;  56.0;/////; 991.2; 29.4;12.9;  2311
06/10/2023 03:00:00;   166;;;  56.0;/////; 991.1; 28.7;12.9;  2311
06/10/2023 03:15:00;   166;;;  56.0;/////; 991.1; 28.7;12.9;  2311
06/10/2023 03:30:00;   164;;;  56.0;/////; 991.1; 28.7;12.9;  2311
06/10/2023 03:45:00;   166;;;  56.0;/////; 991.1; 28.7;12.9;  2311
06/10/2023 04:00:00;   166;;;  56.0;/////; 991.0; 28.0;12.9;  2311
06/10/2023 04:15:00;   166;;;  56.0;/////; 991.0; 28.0;12.9;  2311
06/10/2023 04:30:00;   166;;;  56.0;/////; 991.0; 28.0;12.9;  2311
06/10/2023 04:45:00;   166;;;  56.0;/////; 991.0; 28.0;12.9;  2311
06/10/2023 05:00:00;   165;;;  56.0;/////; 991.0; 27.5;12.9;  2311
06/10/2023 05:15:00;   166;;;  56.0;/////; 991.0; 27.5;12.9;  2311
06/10/2023 05:30:00;   165;;;  56.0;/////; 991.0; 27.5;12.9;  2311
06/10/2023 05:45:00;   166;;;  56.0;/////; 991.0; 27.5;12.9;  2311
06/10/2023 06:00:00;   165;;;  56.0;/////; 991.5; 26.4;12.9;  2311
06/10/2023 06:15:00;   166;;;  56.0;/////; 991.5; 26.4;12.9;  2311
06/10/2023 06:30:00;   165;;;  56.0;/////; 991.5; 26.4;12.9;  2311
06/10/2023 06:45:00;   166;;;  56.0;/////; 991.5; 26.4;12.9;  2311
06/10/2023 07:00:00;   164;;;  56.0;/////; 991.7; 26.1;12.9;  2311
06/10/2023 07:15:00;   166;;;  56.0;/////; 991.7; 26.1;12.9;  2311
06/10/2023 07:30:00;   166;;;  56.0;/////; 991.7; 26.1;12.9;  2311
06/10/2023 07:45:00;   166;;;  56.0;/////; 991.7; 26.1;12.9;  2311
06/10/2023 08:00:00;   166;;;  56.0;/////; 992.9; 26.8;12.9;  2311
06/10/2023 08:15:00;   165;;;  56.0;/////; 992.9; 26.8;12.9;  2311
06/10/2023 08:30:00;   166;;;  56.0;/////; 992.9; 26.8;12.9;  2311
06/10/2023 08:45:00;   166;;;  56.0;/////; 992.9; 26.8;12.9;  2311
06/10/2023 09:00:00;   166;;;  56.0;/////; 993.8; 29.0;13.2;  2311
06/10/2023 09:15:00;   165;;;  56.0;/////; 993.8; 29.0;13.2;  2311
06/10/2023 09:30:00;   166;;;  56.0;/////; 993.8; 29.0;13.2;  2311
06/10/2023 09:45:00;   165;;;  56.0;/////; 993.8; 29.0;13.2;  2311
06/10/2023 10:00:00;   166;;;  56.0;/////; 994.9; 31.0;13.5;  2311
06/10/2023 10:15:00;   166;;;  56.0;/////; 994.9; 31.0;13.5;  2311
06/10/2023 10:30:00;   166;;;  56.0;/////; 994.9; 31.0;13.5;  2311
06/10/2023 10:45:00;   165;;;  56.0;/////; 994.9; 31.0;13.5;  2311
06/10/2023 11:00:00;   166;;;  56.0;/////; 994.9; 32.6;13.9;  2311
06/10/2023 11:15:00;   166;;;  56.0;/////; 994.9; 32.6;13.9;  2311
06/10/2023 11:30:00;   166;;;  56.0;/////; 994.9; 32.6;13.9;  2311
06/10/2023 11:45:00;   167;;;  56.0;/////; 994.9; 32.6;13.9;  2311
06/10/2023 12:00:00;   167;;;  56.0;/////; 994.3; 34.1;14.0;  2311
06/10/2023 12:15:00;   166;;;  56.0;/////; 994.3; 34.1;14.0;  2311
06/10/2023 12:30:00;   167;;;  56.0;/////; 994.3; 34.1;14.0;  2311
06/10/2023 12:45:00;   166;;;  56.0;/////; 994.3; 34.1;14.0;  2311
06/10/2023 13:00:00;   166;;;  56.0;/////; 993.6; 36.0;13.9;  2311
06/10/2023 13:15:00;   166;;;  56.0;/////; 993.6; 36.0;13.9;  2311
06/10/2023 13:30:00;   167;;;  56.0;/////; 993.6; 36.0;13.9;  2311
06/10/2023 13:45:00;   166;;;  56.0;/////; 993.6; 36.0;13.9;  2311
06/10/2023 14:00:00;   165;;;  56.0;/////; 992.5; 37.5;13.8;  2311
06/10/2023 14:15:00;   166;;;  56.0;/////; 992.5; 37.5;13.8;  2311
06/10/2023 14:30:00;   164;;;  56.0;/////; 992.5; 37.5;13.8;  2311
06/10/2023 14:45:00;   166;;;  56.0;/////; 992.5; 37.5;13.8;  2311
06/10/2023 15:00:00;   166;;;  56.0;/////; 991.4; 38.2;13.8;  2311
06/10/2023 15:15:00;   166;;;  56.0;/////; 991.4; 38.2;13.8;  2311
06/10/2023 15:30:00;   162;;;  56.0;/////; 991.4; 38.2;13.8;  2311
06/10/2023 15:45:00;   165;;;  56.0;/////; 991.4; 38.2;13.8;  2311
06/10/2023 16:00:00;   165;;;  56.0;/////; 990.5; 39.3;13.8;  2311
06/10/2023 16:15:00;   165;;;  56.0;/////; 990.5; 39.3;13.8;  2311
06/10/2023 16:30:00;   164;;;  56.0;/////; 990.5; 39.3;13.8;  2311
06/10/2023 16:45:00;   164;;;  56.0;/////; 990.5; 39.3;13.8;  2311
06/10/2023 17:00:00;   164;;;  56.0;/////; 989.7; 40.0;13.6;  2311
06/10/2023 17:15:00;   165;;;  56.0;/////; 989.7; 40.0;13.6;  2311
06/10/2023 17:30:00;   165;;;  56.0;/////; 989.7; 40.0;13.6;  2311
06/10/2023 17:45:00;   165;;;  56.0;/////; 989.7; 40.0;13.6;  2311
06/10/2023 18:00:00;   164;;;  56.0;/////; 989.3; 38.5;13.5;  2311
06/10/2023 18:15:00;   165;;;  56.0;/////; 989.3; 38.5;13.5;  2311
06/10/2023 18:30:00;   164;;;  56.0;/////; 989.3; 38.5;13.5;  2311
06/10/2023 18:45:00;   165;;;  56.0;/////; 989.3; 38.5;13.5;  2311
06/10/2023 19:00:00;   164;;;  56.0;/////; 989.4; 37.3;13.5;  2311
06/10/2023 19:15:00;   164;;;  56.0;/////; 989.4; 37.3;13.5;  2311
06/10/2023 19:30:00;   165;;;  56.0;/////; 989.4; 37.3;13.5;  2311
06/10/2023 19:45:00;   164;;;  56.0;/////; 989.4; 37.3;13.5;  2311
06/10/2023 20:00:00;   163;;;  56.0;/////; 990.3; 36.2;13.3;  2311
06/10/2023 20:15:00;   163;;;  56.0;/////; 990.3; 36.2;13.3;  2311
06/10/2023 20:30:00;   163;;;  56.0;/////; 990.3; 36.2;13.3;  2311
06/10/2023 20:45:00;   165;;;  56.0;/////; 990.3; 36.2;13.3;  2311
06/10/2023 21:00:00;   163;;;  56.0;/////; 991.6; 35.0;13.0;  2311
06/10/2023 21:15:00;   164;;;  56.0;/////; 991.6; 35.0;13.0;  2311
06/10/2023 21:30:00;   164;;;  56.0;/////; 991.6; 35.0;13.0;  2311
06/10/2023 21:45:00;   164;;;  56.0;/////; 991.6; 35.0;13.0;  2311
06/10/2023 22:00:00;   163;;;  56.0;/////; 992.6; 34.2;12.9;  2311
06/10/2023 22:15:00;   163;;;  56.0;/////; 992.6; 34.2;12.9;  2311
06/10/2023 22:30:00;   163;;;  56.0;/////; 992.6; 34.2;12.9;  2311
06/10/2023 22:45:00;   163;;;  56.0;/////; 992.6; 34.2;12.9;  2311
06/10/2023 23:00:00;   163;;;  56.0;/////; 992.9; 33.3;12.9;  2311
06/10/2023 23:15:00;   163;;;  56.0;/////; 992.9; 33.3;12.9;  2311
06/10/2023 23:30:00;   163;;;  56.0;/////; 992.9; 33.3;12.9;  2311
06/10/2023 23:45:00;   162;;;  56.0;/////; 992.9; 33.3;12.9;  2311
07/10/2023 00:00:00;   163;;;  56.0;/////; 993.2; 32.6;12.9;  2311
07/10/2023 00:15:00;   163;;;  56.0;/////; 993.2; 32.6;12.9;  2311
07/10/2023 00:30:00;   163;;;  56.0;/////; 993.2; 32.6;12.9;  2311
07/10/2023 00:45:00;   162;;;  56.0;/////; 993.2; 32.6;12.9;  2311
07/10/2023 01:00:00;   162;;;  56.0;/////; 992.6; 32.2;12.9;  2311
07/10/2023 01:15:00;   162;;;  56.0;/////; 992.6; 32.2;12.9;  2311
07/10/2023 01:30:00;   162;;;  56.0;/////; 992.6; 32.2;12.9;  2311
07/10/2023 01:45:00;   161;;;  56.0;/////; 992.6; 32.2;12.9;  2311
07/10/2023 02:00:00;   161;;;  56.0;/////; 992.4; 31.9;12.9;  2311
07/10/2023 02:15:00;   162;;;  56.0;/////; 992.4; 31.9;12.9;  2311
07/10/2023 02:30:00;   161;;;  56.0;/////; 992.4; 31.9;12.9;  2311
07/10/2023 02:45:00;   160;;;  56.0;/////; 992.4; 31.9;12.9;  2311
07/10/2023 03:00:00;   160;;;  56.0;/////; 992.2; 31.3;12.9;  2311
07/10/2023 03:15:00;   161;;;  56.0;/////; 992.2; 31.3;12.9;  2311
07/10/2023 03:30:00;   161;;;  56.0;/////; 992.2; 31.3;12.9;  2311
07/10/2023 03:45:00;   160;;;  56.0;/////; 992.2; 31.3;12.9;  2311
07/10/2023 04:00:00;   160;;;  56.0;/////; 992.0; 30.7;12.9;  2311
07/10/2023 04:15:00;   160;;;  56.0;/////; 992.0; 30.7;12.9;  2311
07/10/2023 04:30:00;   160;;;  56.0;/////; 992.0; 30.7;12.9;  2311
07/10/2023 04:45:00;   160;;;  56.0;/////; 992.0; 30.7;12.9;  2311
07/10/2023 05:00:00;   159;;;  56.0;/////; 992.4; 30.1;12.9;  2311
07/10/2023 05:15:00;   159;;;  56.0;/////; 992.4; 30.1;12.9;  2311
07/10/2023 05:30:00;   160;;;  56.0;/////; 992.4; 30.1;12.9;  2311
07/10/2023 05:45:00;   158;;;  56.0;/////; 992.4; 30.1;12.9;  2311
07/10/2023 06:00:00;   159;;;  56.0;/////; 993.1; 29.4;12.9;  2311
07/10/2023 06:15:00;   160;;;  56.0;/////; 993.1; 29.4;12.9;  2311
07/10/2023 06:30:00;   158;;;  56.0;/////; 993.1; 29.4;12.9;  2311
07/10/2023 06:45:00;   160;;;  56.0;/////; 993.1; 29.4;12.9;  2311
07/10/2023 07:00:00;   159;;;  56.0;/////; 993.6; 29.1;12.9;  2311
07/10/2023 07:15:00;   158;;;  56.0;/////; 993.6; 29.1;12.9;  2311
07/10/2023 07:30:00;   159;;;  56.0;/////; 993.6; 29.1;12.9;  2311
07/10/2023 07:45:00;   159;;;  56.0;/////; 993.6; 29.1;12.9;  2311
07/10/2023 08:00:00;   159;;;  56.0;/////; 994.5; 28.8;12.9;  2311
07/10/2023 08:15:00;   159;;;  56.0;/////; 994.5; 28.8;12.9;  2311
07/10/2023 08:30:00;   159;;;  56.0;/////; 994.5; 28.8;12.9;  2311
07/10/2023 08:45:00;   159;;;  56.0;/////; 994.5; 28.8;12.9;  2311
07/10/2023 09:00:00;   159;;;  56.0;/////; 995.6; 30.3;13.5;  2311
07/10/2023 09:15:00;   159;;;  56.0;/////; 995.6; 30.3;13.5;  2311
07/10/2023 09:30:00;   159;;;  56.0;/////; 995.6; 30.3;13.5;  2311
07/10/2023 09:45:00;   159;;;  56.0;/////; 995.6; 30.3;13.5;  2311
07/10/2023 10:00:00;   158;;;  56.0;/////; 996.1; 32.0;14.0;  2311
07/10/2023 10:15:00;   159;;;  56.0;/////; 996.1; 32.0;14.0;  2311
07/10/2023 10:30:00;   157;;;  56.0;/////; 996.1; 32.0;14.0;  2311
07/10/2023 10:45:00;   157;;;  56.0;/////; 996.1; 32.0;14.0;  2311
07/10/2023 11:00:00;   158;;;  56.0;/////; 996.1; 33.9;14.0;  2311
07/10/2023 11:15:00;   158;;;  56.0;/////; 996.1; 33.9;14.0;  2311
07/10/2023 11:30:00;   157;;;  56.0;/////; 996.1; 33.9;14.0;  2311
07/10/2023 11:45:00;   157;;;  56.0;/////; 996.1; 33.9;14.0;  2311
07/10/2023 12:00:00;   157;;;  56.0;/////; 996.0; 35.5;13.9;  2311
07/10/2023 12:15:00;   157;;;  56.0;/////; 996.0; 35.5;13.9;  2311
07/10/2023 12:30:00;   158;;;  56.0;/////; 996.0; 35.5;13.9;  2311
07/10/2023 12:45:00;   158;;;  56.0;/////; 996.0; 35.5;13.9;  2311
07/10/2023 13:00:00;   157;;;  56.0;/////; 995.2; 36.9;13.9;  2311
07/10/2023 13:15:00;   157;;;  56.0;/////; 995.2; 36.9;13.9;  2311
07/10/2023 13:30:00;   158;;;  56.0;/////; 995.2; 36.9;13.9;  2311
07/10/2023 13:45:00;   157;;;  56.0;/////; 995.2; 36.9;13.9;  2311
07/10/2023 14:00:00;   157;;;  56.0;/////; 993.6; 37.1;13.8;  2311
07/10/2023 14:15:00;   156;;;  56.0;/////; 993.6; 37.1;13.8;  2311
07/10/2023 14:30:00;   157;;;  56.0;/////; 993.6; 37.1;13.8;  2311
07/10/2023 14:45:00;   155;;;  56.0;/////; 993.6; 37.1;13.8;  2311
07/10/2023 15:00:00;   156;;;  56.0;/////; 992.3; 37.5;13.8;  2311
07/10/2023 15:15:00;   155;;;  56.0;/////; 992.3; 37.5;13.8;  2311
07/10/2023 15:30:00;   157;;;  56.0;/////; 992.3; 37.5;13.8;  2311
07/10/2023 15:45:00;   157;;;  56.0;/////; 992.3; 37.5;13.8;  2311
07/10/2023 16:00:00;   156;;;  56.0;/////; 991.2; 38.3;13.6;  2311
07/10/2023 16:15:00;   156;;;  56.0;/////; 991.2; 38.3;13.6;  2311
07/10/2023 16:30:00;   156;;;  56.0;/////; 991.2; 38.3;13.6;  2311
07/10/2023 16:45:00;   154;;;  56.0;/////; 991.2; 38.3;13.6;  2311
07/10/2023 17:00:00;   155;;;  56.0;/////; 991.3; 36.2;13.5;  2311
07/10/2023 17:15:00;   156;;;  56.0;/////; 991.3; 36.2;13.5;  2311
07/10/2023 17:30:00;   155;;;  56.0;/////; 991.3; 36.2;13.5;  2311
07/10/2023 17:45:00;   156;;;  56.0;/////; 991.3; 36.2;13.5;  2311
07/10/2023 18:00:00;   155;;;  56.0;/////; 991.2; 32.0;13.4;  2311
07/10/2023 18:15:00;   156;;;  56.0;/////; 991.2; 32.0;13.4;  2311
07/10/2023 18:30:00;   155;;;  56.0;/////; 991.2; 32.0;13.4;  2311
07/10/2023 18:45:00;   154;;;  56.0;/////; 991.2; 32.0;13.4;  2311
07/10/2023 19:00:00;   156;;;  56.0;/////; 991.4; 30.5;13.1;  2311
07/10/2023 19:15:00;   156;;;  56.0;/////; 991.4; 30.5;13.1;  2311
07/10/2023 19:30:00;   155;;;  56.0;/////; 991.4; 30.5;13.1;  2311
07/10/2023 19:45:00;   155;;;  56.0;/////; 991.4; 30.5;13.1;  2311
07/10/2023 20:00:00;   155;;;  56.0;/////; 991.9; 29.8;12.9;  2311
07/10/2023 20:15:00;   155;;;  56.0;/////; 991.9; 29.8;12.9;  2311
07/10/2023 20:30:00;   154;;;  56.0;/////; 991.9; 29.8;12.9;  2311
