DATA HORA;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;;8705;-
01/01/2023 01:00;;8706;-
01/01/2023 02:00;;8708;-
01/01/2023 03:00;;8709;-
01/01/2023 04:00;;8711;-
01/01/2023 05:00;;8712;-
01/01/2023 06:00;;8713;-
01/01/2023 07:00;;8714;-
01/01/2023 08:00;;8716;-
01/01/2023 09:00;;8718;-
01/01/2023 10:00;;8720;-
01/01/2023 11:00;;8721;-
01/01/2023 12:00;;8722;-
01/01/2023 13:00;;8723;-
01/01/2023 14:00;;8724;-
01/01/2023 15:00;;8725;-
01/01/2023 16:00;;8726;-
01/01/2023 17:00;;8727;-
01/01/2023 18:00;;8728;-
01/01/2023 19:00;;8729;-
01/01/2023 20:00;;8730;-
01/01/2023 21:00;;8731;-
01/01/2023 22:00;;8732;-
01/01/2023 23:00;;8736;-
02/01/2023 00:00;;8735;-
02/01/2023 01:00;;8736;-
02/01/2023 02:00;;8737;-
02/01/2023 03:00;;8738;-
02/01/2023 04:00;;8739;-
02/01/2023 05:00;;8740;-
02/01/2023 06:00;;8741;-
02/01/2023 07:00;;8742;-
02/01/2023 08:00;;8743;-
02/01/2023 09:00;;8744;-
02/01/2023 10:00;;8745;-
02/01/2023 11:00;;8746;-
02/01/2023 12:00;;8747;-
02/01/2023 13:00;;8748;-
02/01/2023 14:00;;8748;-
02/01/2023 15:00;;8749;-
02/01/2023 16:00;;8749;-
02/01/2023 17:00;;8750;-
02/01/2023 18:00;;8750;-
02/01/2023 19:00;;8751;-
02/01/2023 20:00;;8752;-
02/01/2023 21:00;;8753;-
02/01/2023 22:00;;8753;-
02/01/2023 23:00;;8754;-
03/01/2023 00:00;;8755;-
03/01/2023 01:00;;8755;-
03/01/2023 02:00;;8755;-
03/01/2023 03:00;;8755;-
03/01/2023 04:00;;8755;-
03/01/2023 05:00;;8755;-
03/01/2023 06:00;;8755;-
03/01/2023 07:00;;8755;-
03/01/2023 08:00;;8755;-
03/01/2023 09:00;;8755;-
03/01/2023 10:00;;8755;-
03/01/2023 11:00;;8755;-
03/01/2023 12:00;;8755;-
03/01/2023 13:00;;8756;-
03/01/2023 14:00;;8756;-
03/01/2023 15:00;;8755;-
03/01/2023 16:00;;8755;-
03/01/2023 17:00;;8755;-
03/01/2023 18:00;;8755;-
03/01/2023 19:00;;8755;-
03/01/2023 20:00;;8755;-
03/01/2023 21:00;;8755;-
03/01/2023 22:00;;8755;-
03/01/2023 23:00;;8755;-
04/01/2023 00:00;;8755;-
04/01/2023 01:00;;8755;-
04/01/2023 02:00;;8755;-
04/01/2023 03:00;;8755;-
04/01/2023 04:00;;8755;-
04/01/2023 05:00;;8755;-
04/01/2023 06:00;;8755;-
04/01/2023 07:00;;8755;-
04/01/2023 08:00;;8755;-
04/01/2023 09:00;;8755;-
04/01/2023 10:00;;8755;-
04/01/2023 11:00;;8755;-
04/01/2023 12:00;;8755;-
04/01/2023 13:00;;8755;-
04/01/2023 14:00;;8755;-
04/01/2023 15:00;;8755;-
04/01/2023 16:00;;8755;-
04/01/2023 17:00;;8755;-
04/01/2023 18:00;;8755;-
04/01/2023 19:00;;8755;-
04/01/2023 20:00;;8755;-
04/01/2023 21:00;;8755;-
04/01/2023 22:00;;8755;-
04/01/2023 23:00;;8755;-
05/01/2023 00:00;;8755;-
05/01/2023 01:00;;8755;-
05/01/2023 02:00;;8755;-
05/01/2023 03:00;;8755;-
05/01/2023 04:00;;8755;-
