Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;0;1818;-
01/01/2023 01:00;0;1821;-
01/01/2023 02:00;0;1823;-
01/01/2023 03:00;0;1820;-
01/01/2023 04:00;0;1816;-
01/01/2023 05:00;0;1815;-
01/01/2023 06:00;0;1810;-
01/01/2023 07:00;0;1809;-
01/01/2023 08:00;0;1804;-
01/01/2023 09:00;0;1804;-
01/01/2023 10:00;0;1803;-
01/01/2023 11:00;0;1798;-
01/01/2023 12:00;0;1800;-
01/01/2023 13:00;0;1803;-
01/01/2023 14:00;0.5;1803;-
01/01/2023 15:00;0.75;1803;-
01/01/2023 16:00;1;1802;-
01/01/2023 17:00;2;1798;-
01/01/2023 18:00;0.25;1796;-
01/01/2023 19:00;0;1796;-
01/01/2023 20:00;0;1798;-
01/01/2023 21:00;0;1799;-
01/01/2023 22:00;0;1799;-
01/01/2023 23:00;0;1798;-
02/01/2023 00:00;0;1799;-
02/01/2023 01:00;0;1799;-
02/01/2023 02:00;0;1799;-
02/01/2023 03:00;0;1799;-
02/01/2023 04:00;0;1801;-
02/01/2023 05:00;0;1801;-
02/01/2023 06:00;0;1801;-
02/01/2023 07:00;0;1801;-
02/01/2023 08:00;0;1801;-
02/01/2023 09:00;0;1801;-
02/01/2023 10:00;0;1802;-
02/01/2023 11:00;0;1802;-
02/01/2023 12:00;0;1803;-
02/01/2023 13:00;0;1801;-
02/01/2023 14:00;0;1800;-
02/01/2023 15:00;0;1799;-
02/01/2023 16:00;0;1799;-
02/01/2023 17:00;0;1799;-
02/01/2023 18:00;0;1798;-
02/01/2023 19:00;0;1799;-
02/01/2023 20:00;0;1798;-
02/01/2023 21:00;0;1798;-
02/01/2023 22:00;0;1797;-
02/01/2023 23:00;0;1796;-
03/01/2023 00:00;0;1796;-
03/01/2023 01:00;0;1797;-
03/01/2023 02:00;0;1798;-
03/01/2023 03:00;0;1796;-
03/01/2023 04:00;0;1796;-
03/01/2023 05:00;0;1797;-
03/01/2023 06:00;0;1798;-
03/01/2023 07:00;0;1800;-
03/01/2023 08:00;0;1803;-
03/01/2023 09:00;0;1804;-
03/01/2023 10:00;0;1805;-
03/01/2023 11:00;0;1806;-
03/01/2023 12:00;0;1807;-
03/01/2023 13:00;0;1807;-
03/01/2023 14:00;0;1807;-
03/01/2023 15:00;0;1807;-
