Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;0;558;265.97
01/01/2023 01:00;0;559;266.88
01/01/2023 02:00;0;559;266.88
01/01/2023 03:00;0;560;267.79
01/01/2023 04:00;0;561;268.7
01/01/2023 05:00;0;562;269.61
01/01/2023 06:00;0;562;269.61
01/01/2023 07:00;0;563;270.53
01/01/2023 08:00;0;564;271.44
01/01/2023 09:00;0;565;272.36
01/01/2023 10:00;0;565;272.36
01/01/2023 11:00;0;566;273.27
01/01/2023 12:00;0;567;274.19
01/01/2023 13:00;0;568;275.11
01/01/2023 14:00;0;569;276.04
01/01/2023 15:00;7.75;569;276.04
01/01/2023 16:00;0;569;276.04
01/01/2023 17:00;0;570;276.96
01/01/2023 18:00;0.25;571;277.88
01/01/2023 19:00;0.25;572;278.81
01/01/2023 20:00;0.25;572;278.81
01/01/2023 21:00;0;573;279.74
01/01/2023 22:00;0;574;280.67
01/01/2023 23:00;0;575;281.6
02/01/2023 00:00;0;575;281.6
02/01/2023 01:00;0;576;282.53
02/01/2023 02:00;0;576;282.53
02/01/2023 03:00;0;577;283.46
02/01/2023 04:00;0;578;284.4
02/01/2023 05:00;0;578;284.4
02/01/2023 06:00;0.25;579;285.33
02/01/2023 07:00;0;579;285.33
02/01/2023 08:00;0;580;286.27
02/01/2023 09:00;0;581;287.21
02/01/2023 10:00;0;581;287.21
02/01/2023 11:00;0;582;288.15
02/01/2023 12:00;0;583;289.09
02/01/2023 13:00;0;583;289.09
02/01/2023 14:00;0;584;290.04
02/01/2023 15:00;0;584;290.04
02/01/2023 16:00;0;584;290.04
02/01/2023 17:00;0;585;290.98
02/01/2023 18:00;0;586;291.93
02/01/2023 19:00;0;586;291.93
02/01/2023 20:00;0;586;291.93
02/01/2023 21:00;0;586;291.93
02/01/2023 22:00;0;586;291.93
02/01/2023 23:00;0;586;291.93
03/01/2023 00:00;0;586;291.93
03/01/2023 01:00;0;587;292.87
03/01/2023 02:00;0;587;292.87
03/01/2023 03:00;0;587;292.87
03/01/2023 04:00;0;587;292.87
03/01/2023 05:00;0;587;292.87
03/01/2023 06:00;0;587;292.87
03/01/2023 07:00;0.25;587;292.87
03/01/2023 08:00;0;587;292.87
03/01/2023 09:00;0;587;292.87
03/01/2023 10:00;0;587;292.87
03/01/2023 11:00;0;587;292.87
03/01/2023 12:00;0;587;292.87
03/01/2023 13:00;0;587;292.87
03/01/2023 14:00;0;587;292.87
03/01/2023 15:00;0;587;292.87
03/01/2023 16:00;0;587;292.87
03/01/2023 17:00;0;587;292.87
03/01/2023 18:00;0;587;292.87
03/01/2023 19:00;0;587;292.87
03/01/2023 20:00;0;586;291.93
03/01/2023 21:00;0;586;291.93
03/01/2023 22:00;0;586;291.93
03/01/2023 23:00;0;586;291.93
04/01/2023 00:00;0;585;290.98
04/01/2023 01:00;0;584;290.04
04/01/2023 02:00;0;584;290.04
04/01/2023 03:00;0;584;290.04
04/01/2023 04:00;0;584;290.04
04/01/2023 05:00;0;583;289.09
04/01/2023 06:00;0;583;289.09
04/01/2023 07:00;0;583;289.09
04/01/2023 08:00;0;582;288.15
04/01/2023 09:00;0;582;288.15
04/01/2023 10:00;0;582;288.15
04/01/2023 11:00;0;582;288.15
04/01/2023 12:00;0;581;287.21
04/01/2023 13:00;0;581;287.21
04/01/2023 14:00;0;581;287.21
04/01/2023 15:00;0;581;287.21
04/01/2023 16:00;0;580;286.27
04/01/2023 17:00;0;580;286.27
04/01/2023 18:00;0;579;285.33
04/01/2023 19:00;0;579;285.33
04/01/2023 20:00;0;578;284.4
04/01/2023 21:00;0;577;283.46
04/01/2023 22:00;0;576;282.53
04/01/2023 23:00;0.5;576;282.53
05/01/2023 00:00;2.25;576;282.53
05/01/2023 01:00;1.75;576;282.53
05/01/2023 02:00;9.25;576;282.53
05/01/2023 03:00;5.75;576;282.53
05/01/2023 04:00;10.25;576;282.53
05/01/2023 05:00;38;580;286.27
05/01/2023 06:00;23.5;584;290.04
05/01/2023 07:00;7;584;290.04
05/01/2023 08:00;6.75;585;290.98
05/01/2023 09:00;0.5;584;290.04
05/01/2023 10:00;0;584;290.04
05/01/2023 11:00;0;584;290.04
05/01/2023 12:00;0;584;290.04
05/01/2023 13:00;0;583;289.09
05/01/2023 14:00;0;583;289.09
05/01/2023 15:00;0;583;289.09
05/01/2023 16:00;0;583;289.09
05/01/2023 17:00;0;582;288.15
05/01/2023 18:00;0;583;289.09
05/01/2023 19:00;0;582;288.15
05/01/2023 20:00;0;581;287.21
05/01/2023 21:00;0.25;581;287.21
05/01/2023 22:00;0;581;287.21
05/01/2023 23:00;0;581;287.21
06/01/2023 00:00;0;581;287.21
06/01/2023 01:00;0;581;287.21
06/01/2023 02:00;0;581;287.21
06/01/2023 03:00;0;581;287.21
06/01/2023 04:00;0;582;288.15
06/01/2023 05:00;0;582;288.15
06/01/2023 06:00;0;583;289.09
06/01/2023 07:00;0;583;289.09
06/01/2023 08:00;0;583;289.09
06/01/2023 09:00;0;584;290.04
06/01/2023 10:00;0;584;290.04
06/01/2023 11:00;0;584;290.04
06/01/2023 12:00;0;584;290.04
06/01/2023 13:00;0;585;290.98
06/01/2023 14:00;0;585;290.98
06/01/2023 15:00;0;585;290.98
06/01/2023 16:00;3;586;291.93
06/01/2023 17:00;3.75;585;290.98
06/01/2023 18:00;0.75;585;290.98
06/01/2023 19:00;0.25;585;290.98
06/01/2023 20:00;0;585;290.98
06/01/2023 21:00;0;585;290.98
06/01/2023 22:00;0;585;290.98
06/01/2023 23:00;7.75;585;290.98
07/01/2023 00:00;5.75;585;290.98
07/01/2023 01:00;1.5;585;290.98
07/01/2023 02:00;0.5;584;290.04
07/01/2023 03:00;2.75;584;290.04
07/01/2023 04:00;4;584;290.04
07/01/2023 05:00;3;584;290.04
07/01/2023 06:00;2.25;583;289.09
07/01/2023 07:00;3.75;583;289.09
07/01/2023 08:00;2.75;583;289.09
07/01/2023 09:00;1.25;583;289.09
07/01/2023 10:00;0.25;582;288.15
07/01/2023 11:00;0;581;287.21
07/01/2023 12:00;0;581;287.21
07/01/2023 13:00;0;581;287.21
07/01/2023 14:00;0;580;286.27
07/01/2023 15:00;0;580;286.27
07/01/2023 16:00;0;579;285.33
07/01/2023 17:00;6.75;578;284.4
07/01/2023 18:00;0;578;284.4
07/01/2023 19:00;0;577;283.46
07/01/2023 20:00;0;576;282.53
07/01/2023 21:00;0;576;282.53
07/01/2023 22:00;0;575;281.6
07/01/2023 23:00;0;575;281.6
08/01/2023 00:00;0;574;280.67
08/01/2023 01:00;0;574;280.67
08/01/2023 02:00;0;573;279.74
08/01/2023 03:00;0;573;279.74
08/01/2023 04:00;0;572;278.81
08/01/2023 05:00;0;572;278.81
08/01/2023 06:00;0;572;278.81
08/01/2023 07:00;0.25;571;277.88
08/01/2023 08:00;0;570;276.96
08/01/2023 09:00;0;570;276.96
08/01/2023 10:00;0;570;276.96
08/01/2023 11:00;0;570;276.96
08/01/2023 12:00;0;569;276.04
08/01/2023 13:00;0;569;276.04
08/01/2023 14:00;0;569;276.04
08/01/2023 15:00;0;569;276.04
08/01/2023 16:00;0;568;275.11
08/01/2023 17:00;0;568;275.11
08/01/2023 18:00;0;567;274.19
08/01/2023 19:00;0;567;274.19
08/01/2023 20:00;0;566;273.27
