Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;0;942;-
01/01/2023 01:00;0;934;-
01/01/2023 02:00;0;935;-
01/01/2023 03:00;0;937;-
01/01/2023 04:00;0;936;-
01/01/2023 05:00;0;933;-
01/01/2023 06:00;0;931;-
01/01/2023 07:00;0;929;-
01/01/2023 08:00;0;927;-
01/01/2023 09:00;0;926;-
01/01/2023 10:00;0;924;-
01/01/2023 11:00;0;922;-
01/01/2023 12:00;0.6;923;-
01/01/2023 13:00;5.4;919;-
01/01/2023 14:00;0;919;-
01/01/2023 15:00;0;920;-
01/01/2023 16:00;8.6;920;-
01/01/2023 17:00;3.4;921;-
01/01/2023 18:00;0;921;-
01/01/2023 19:00;0;918;-
01/01/2023 20:00;0;917;-
01/01/2023 21:00;0;918;-
01/01/2023 22:00;0;919;-
01/01/2023 23:00;0;919;-
02/01/2023 00:00;-;-;-
02/01/2023 01:00;0;919;-
02/01/2023 02:00;0;919;-
02/01/2023 03:00;0;919;-
02/01/2023 04:00;0;920;-
02/01/2023 05:00;0;920;-
02/01/2023 06:00;0;920;-
02/01/2023 07:00;0;921;-
02/01/2023 08:00;0;921;-
02/01/2023 09:00;0;921;-
02/01/2023 10:00;0;921;-
02/01/2023 11:00;0;922;-
02/01/2023 12:00;0;922;-
02/01/2023 13:00;0;922;-
02/01/2023 14:00;0;922;-
02/01/2023 15:00;0;921;-
02/01/2023 16:00;0;921;-
02/01/2023 17:00;0;920;-
02/01/2023 18:00;0;920;-
02/01/2023 19:00;0;920;-
02/01/2023 20:00;0;919;-
02/01/2023 21:00;0;919;-
02/01/2023 22:00;0;918;-
02/01/2023 23:00;0;918;-
03/01/2023 00:00;-;-;-
03/01/2023 01:00;0;918;-
03/01/2023 02:00;0;918;-
03/01/2023 03:00;0;919;-
03/01/2023 04:00;0;919;-
03/01/2023 05:00;0;918;-
03/01/2023 06:00;0;918;-
03/01/2023 07:00;0;919;-
03/01/2023 08:00;0;921;-
03/01/2023 09:00;0;923;-
03/01/2023 10:00;0;925;-
03/01/2023 11:00;0;926;-
03/01/2023 12:00;0;927;-
03/01/2023 13:00;0;928;-
03/01/2023 14:00;0;928;-
03/01/2023 15:00;0;928;-
03/01/2023 16:00;0;928;-
03/01/2023 17:00;0;928;-
03/01/2023 18:00;0;928;-
03/01/2023 19:00;0;928;-
03/01/2023 20:00;0;928;-
03/01/2023 21:00;0;928;-
03/01/2023 22:00;0;928;-
03/01/2023 23:00;0;928;-
04/01/2023 00:00;-;-;-
04/01/2023 01:00;0;928;-
04/01/2023 02:00;0;928;-
04/01/2023 03:00;0;928;-
04/01/2023 04:00;0;930;-
04/01/2023 05:00;0;931;-
04/01/2023 06:00;0;931;-
04/01/2023 07:00;0;931;-
04/01/2023 08:00;0;933;-
04/01/2023 09:00;0;933;-
04/01/2023 10:00;0;934;-
04/01/2023 11:00;0;934;-
04/01/2023 12:00;0;934;-
04/01/2023 13:00;0;934;-
04/01/2023 14:00;0;935;-
04/01/2023 15:00;0;935;-
04/01/2023 16:00;0;935;-
04/01/2023 17:00;0;935;-
04/01/2023 18:00;0;934;-
04/01/2023 19:00;0;934;-
04/01/2023 20:00;0;934;-
04/01/2023 21:00;0;934;-
04/01/2023 22:00;0;933;-
04/01/2023 23:00;0;934;-
05/01/2023 00:00;-;-;-
05/01/2023 01:00;11.4;936;-
05/01/2023 02:00;1.6;936;-
05/01/2023 03:00;0.4;935;-
05/01/2023 04:00;0;935;-
05/01/2023 05:00;0;935;-
05/01/2023 06:00;6.6;936;-
05/01/2023 07:00;11.8;939;-
05/01/2023 08:00;5.6;938;-
05/01/2023 09:00;1.6;940;-
05/01/2023 10:00;0;942;-
05/01/2023 11:00;0;944;-
05/01/2023 12:00;0;945;-
05/01/2023 13:00;0;946;-
05/01/2023 14:00;0;946;-
05/01/2023 15:00;0;946;-
05/01/2023 16:00;0;945;-
05/01/2023 17:00;0;944;-
05/01/2023 18:00;0;944;-
05/01/2023 19:00;0;943;-
05/01/2023 20:00;0;942;-
05/01/2023 21:00;0;942;-
05/01/2023 22:00;0;941;-
05/01/2023 23:00;7.4;940;-
06/01/2023 00:00;0.2;939;-
06/01/2023 01:00;0;939;-
06/01/2023 02:00;0;939;-
06/01/2023 03:00;0;938;-
06/01/2023 04:00;0;938;-
06/01/2023 05:00;0;937;-
06/01/2023 06:00;0;937;-
06/01/2023 07:00;0;937;-
06/01/2023 08:00;0;937;-
06/01/2023 09:00;2;937;-
06/01/2023 10:00;0.4;938;-
06/01/2023 11:00;0;938;-
06/01/2023 12:00;0;939;-
06/01/2023 13:00;0.8;939;-
06/01/2023 14:00;1;939;-
06/01/2023 15:00;0;939;-
06/01/2023 16:00;0;940;-
06/01/2023 17:00;0;939;-
06/01/2023 18:00;0;939;-
06/01/2023 19:00;0;937;-
06/01/2023 20:00;1;934;-
06/01/2023 21:00;0;934;-
06/01/2023 22:00;0;935;-
06/01/2023 23:00;0;936;-
07/01/2023 00:00;0;934;-
07/01/2023 01:00;0;933;-
07/01/2023 02:00;0;933;-
07/01/2023 03:00;0;933;-
07/01/2023 04:00;0;934;-
07/01/2023 05:00;0;935;-
07/01/2023 06:00;0;936;-
07/01/2023 07:00;1;937;-
07/01/2023 08:00;0.2;937;-
07/01/2023 09:00;0;939;-
07/01/2023 10:00;0;940;-
07/01/2023 11:00;0;941;-
07/01/2023 12:00;0;941;-
07/01/2023 13:00;0;941;-
07/01/2023 14:00;0;941;-
07/01/2023 15:00;0;942;-
07/01/2023 16:00;0;942;-
07/01/2023 17:00;0;941;-
07/01/2023 18:00;0;941;-
07/01/2023 19:00;0;941;-
07/01/2023 20:00;0;941;-
07/01/2023 21:00;0;940;-
07/01/2023 22:00;0;939;-
07/01/2023 23:00;0;941;-
08/01/2023 00:00;-;-;-
08/01/2023 01:00;0;944;-
08/01/2023 02:00;0;946;-
08/01/2023 03:00;0;947;-
08/01/2023 04:00;0;948;-
08/01/2023 05:00;0;949;-
08/01/2023 06:00;0;950;-
08/01/2023 07:00;0;951;-
08/01/2023 08:00;0;952;-
08/01/2023 09:00;0;954;-
08/01/2023 10:00;0;953;-
08/01/2023 11:00;0;953;-
08/01/2023 12:00;0;955;-
08/01/2023 13:00;0;953;-
08/01/2023 14:00;0;957;-
08/01/2023 15:00;0;961;-
08/01/2023 16:00;0;962;-
08/01/2023 17:00;0;964;-
08/01/2023 18:00;0;964;-
