Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;0;7138;
01/01/2023 01:00;0;7138;
01/01/2023 02:00;0;7137;
01/01/2023 03:00;0;7136;
01/01/2023 04:00;0;7135;
01/01/2023 05:00;0;7135;
01/01/2023 06:00;0;7132;
01/01/2023 07:00;0;7131;
01/01/2023 08:00;0;7128;
01/01/2023 09:00;0;7126;
01/01/2023 10:00;0;7122;
01/01/2023 11:00;0;7119;
01/01/2023 12:00;0;7119;
01/01/2023 13:00;0;7119;
01/01/2023 14:00;0.2;7122;
01/01/2023 15:00;0.4;7122;
01/01/2023 16:00;0;7123;
01/01/2023 17:00;0;7126;
01/01/2023 18:00;0;7128;
01/01/2023 19:00;0;7130;
01/01/2023 20:00;0;7131;
01/01/2023 21:00;0;7130;
01/01/2023 22:00;0;7131;
01/01/2023 23:00;0;7132;
02/01/2023 00:00;0;7132;
02/01/2023 01:00;0;7133;
02/01/2023 02:00;0;7133;
02/01/2023 03:00;0;7133;
02/01/2023 04:00;0;7133;
02/01/2023 05:00;0;7133;
02/01/2023 06:00;0;7133;
02/01/2023 07:00;0;7133;
02/01/2023 08:00;0;7133;
02/01/2023 09:00;0;7134;
02/01/2023 10:00;0;7133;
02/01/2023 11:00;0;7133;
02/01/2023 12:00;0;7133;
02/01/2023 13:00;0;7133;
02/01/2023 14:00;0;7133;
02/01/2023 15:00;0;7133;
02/01/2023 16:00;0;7133;
02/01/2023 17:00;0;7131;
02/01/2023 18:00;0;7132;
02/01/2023 19:00;0;7131;
02/01/2023 20:00;0;7131;
02/01/2023 21:00;0;7131;
02/01/2023 22:00;0;7131;
02/01/2023 23:00;0;7131;
03/01/2023 00:00;0;7131;
03/01/2023 01:00;0;7131;
03/01/2023 02:00;0;7132;
03/01/2023 03:00;0.2;7133;
03/01/2023 04:00;0;7135;
03/01/2023 05:00;0;7135;
03/01/2023 06:00;0;7134;
03/01/2023 07:00;0;7135;
03/01/2023 08:00;0;7136;
03/01/2023 09:00;0;7136;
03/01/2023 10:00;0;7136;
03/01/2023 11:00;0;7135;
03/01/2023 12:00;0;7130;
03/01/2023 13:00;0;7133;
03/01/2023 14:00;0;7132;
03/01/2023 15:00;0;7132;
03/01/2023 16:00;0;7132;
03/01/2023 17:00;0;7133;
03/01/2023 18:00;0;7132;
03/01/2023 19:00;0;7132;
03/01/2023 20:00;0;7133;
03/01/2023 21:00;0;7133;
03/01/2023 22:00;0;7133;
03/01/2023 23:00;0;7133;
04/01/2023 00:00;0;7133;
04/01/2023 01:00;0;7133;
04/01/2023 02:00;0;7132;
04/01/2023 03:00;0;7132;
04/01/2023 04:00;0;7133;
04/01/2023 05:00;0;7133;
04/01/2023 06:00;0;7136;
04/01/2023 07:00;0;7135;
04/01/2023 08:00;0;7134;
04/01/2023 09:00;0;7136;
04/01/2023 10:00;0;7133;
04/01/2023 11:00;0;7133;
04/01/2023 12:00;0;7133;
04/01/2023 13:00;0;7133;
04/01/2023 14:00;0;7131;
04/01/2023 15:00;0;7131;
04/01/2023 16:00;0;7130;
04/01/2023 17:00;0;7130;
04/01/2023 18:00;0.2;7131;
04/01/2023 19:00;0;7130;
04/01/2023 20:00;0;7130;
04/01/2023 21:00;0.2;7129;
04/01/2023 22:00;0.2;7128;
04/01/2023 23:00;0;7130;
05/01/2023 00:00;0;7131;
05/01/2023 01:00;0;7130;
05/01/2023 02:00;0;7131;
05/01/2023 03:00;0;7131;
05/01/2023 04:00;0;7133;
05/01/2023 05:00;0;7132;
05/01/2023 06:00;0;7133;
05/01/2023 07:00;0;7133;
05/01/2023 08:00;0;7135;
05/01/2023 09:00;0.2;7135;
05/01/2023 10:00;0;7136;
05/01/2023 11:00;0;7135;
05/01/2023 12:00;0;7135;
05/01/2023 13:00;0;7133;
05/01/2023 14:00;0;7133;
05/01/2023 15:00;0;7131;
05/01/2023 16:00;0;7131;
05/01/2023 17:00;0;7128;
05/01/2023 18:00;0;7128;
05/01/2023 19:00;0;7127;
05/01/2023 20:00;0;7127;
05/01/2023 21:00;0;7126;
05/01/2023 22:00;0;7128;
05/01/2023 23:00;0;7128;
06/01/2023 00:00;0;7127;
06/01/2023 01:00;0;7127;
06/01/2023 02:00;0;7127;
06/01/2023 03:00;0;7127;
06/01/2023 04:00;0;7126;
06/01/2023 05:00;0;7128;
06/01/2023 06:00;0.2;7129;
06/01/2023 07:00;0;7128;
06/01/2023 08:00;0;7128;
06/01/2023 09:00;0;7129;
06/01/2023 10:00;0;7130;
06/01/2023 11:00;0;7132;
06/01/2023 12:00;0;7130;
06/01/2023 13:00;0;7130;
06/01/2023 14:00;0;7130;
06/01/2023 15:00;0;7128;
06/01/2023 16:00;0.4;7128;
06/01/2023 17:00;0;7128;
06/01/2023 18:00;0.2;7130;
06/01/2023 19:00;0;7132;
06/01/2023 20:00;0;7131;
06/01/2023 21:00;0;7129;
06/01/2023 22:00;0;7130;
06/01/2023 23:00;0;7132;
07/01/2023 00:00;0;7132;
07/01/2023 01:00;0;7132;
07/01/2023 02:00;0;7131;
07/01/2023 03:00;0;7133;
07/01/2023 04:00;0;7133;
07/01/2023 05:00;0;7134;
07/01/2023 06:00;0;7133;
07/01/2023 07:00;0;7135;
07/01/2023 08:00;0;7136;
07/01/2023 09:00;0;7136;
07/01/2023 10:00;0;7136;
07/01/2023 11:00;0;7134;
07/01/2023 12:00;0;7136;
07/01/2023 13:00;0;7133;
07/01/2023 14:00;0;7134;
07/01/2023 15:00;0;7133;
07/01/2023 16:00;0;7133;
07/01/2023 17:00;0;7132;
07/01/2023 18:00;0;7131;
07/01/2023 19:00;0;7135;
07/01/2023 20:00;0;7136;
07/01/2023 21:00;0;7138;
07/01/2023 22:00;0;7136;
07/01/2023 23:00;0;7131;
08/01/2023 00:00;0;7131;
08/01/2023 01:00;0;7130;
08/01/2023 02:00;0;7133;
08/01/2023 03:00;0;7135;
08/01/2023 04:00;0;7136;
08/01/2023 05:00;0;7136;
08/01/2023 06:00;0;7135;
08/01/2023 07:00;0;7135;
08/01/2023 08:00;0;7138;
08/01/2023 09:00;0;7137;
08/01/2023 10:00;0;7138;
08/01/2023 11:00;0;7137;
08/01/2023 12:00;0;7133;
08/01/2023 13:00;0;7137;
08/01/2023 14:00;0;7136;
08/01/2023 15:00;0;7139;
08/01/2023 16:00;0;7141;
08/01/2023 17:00;0;7139;
08/01/2023 18:00;0;7133;
08/01/2023 19:00;0;7131;
08/01/2023 20:00;0;7130;
08/01/2023 21:00;0;7128;
08/01/2023 22:00;0.2;7128;
08/01/2023 23:00;0;7130;
09/01/2023 00:00;0;7132;
09/01/2023 01:00;0;7130;
09/01/2023 02:00;0;7137;
09/01/2023 03:00;0;7135;
09/01/2023 04:00;0;7134;
09/01/2023 05:00;0;7135;
09/01/2023 06:00;0;7136;
09/01/2023 07:00;0.2;7138;
09/01/2023 08:00;0.2;7138;
09/01/2023 09:00;0;7139;
09/01/2023 10:00;0;7136;
09/01/2023 11:00;0;7141;
09/01/2023 12:00;0;7144;
09/01/2023 13:00;0;7134;
09/01/2023 14:00;0;7144;
09/01/2023 15:00;0;7141;
09/01/2023 16:00;0;7139;
09/01/2023 17:00;0;7138;
09/01/2023 18:00;0;7133;
09/01/2023 19:00;0;7132;
09/01/2023 20:00;0;7135;
09/01/2023 21:00;0;7133;
09/01/2023 22:00;0;7133;
09/01/2023 23:00;0;7134;
10/01/2023 00:00;0;7134;
10/01/2023 01:00;0;7131;
10/01/2023 02:00;0;7135;
10/01/2023 03:00;0;7135;
10/01/2023 04:00;0;7133;
10/01/2023 05:00;0;7131;
10/01/2023 06:00;0;7132;
10/01/2023 07:00;0;7133;
10/01/2023 08:00;0;7133;
10/01/2023 09:00;0;7135;
10/01/2023 10:00;0;7131;
10/01/2023 11:00;0;7132;
10/01/2023 12:00;0;7133;
10/01/2023 13:00;0;7135;
10/01/2023 14:00;0;7135;
10/01/2023 15:00;0;7136;
10/01/2023 16:00;0;7136;
10/01/2023 17:00;0.2;7136;
10/01/2023 18:00;0;7138;
10/01/2023 19:00;0;7137;
10/01/2023 20:00;0;7136;
10/01/2023 21:00;0;7136;
10/01/2023 22:00;0;7132;
10/01/2023 23:00;0;7145;
11/01/2023 00:00;0;7144;
11/01/2023 01:00;0;7136;
11/01/2023 02:00;0;7139;
11/01/2023 03:00;0;7138;
11/01/2023 04:00;0;7133;
11/01/2023 05:00;0;7128;
11/01/2023 06:00;0;7127;
11/01/2023 07:00;0;7125;
11/01/2023 08:00;0;7124;
11/01/2023 09:00;0;7123;
11/01/2023 10:00;0;7123;
11/01/2023 11:00;0;7128;
11/01/2023 12:00;0;7129;
11/01/2023 13:00;0;7129;
11/01/2023 14:00;0;7131;
11/01/2023 15:00;0;7131;
11/01/2023 16:00;0;7130;
11/01/2023 17:00;0;7131;
11/01/2023 18:00;0;7131;
11/01/2023 19:00;0;7130;
11/01/2023 20:00;0;7130;
11/01/2023 21:00;0;7130;
11/01/2023 22:00;0;7130;
11/01/2023 23:00;0;7130;
12/01/2023 00:00;0;7130;
12/01/2023 01:00;0;7129;
12/01/2023 02:00;0;7128;
12/01/2023 03:00;0;7129;
12/01/2023 04:00;0;7128;
12/01/2023 05:00;0;7126;
12/01/2023 06:00;0;7128;
12/01/2023 07:00;0;7127;
12/01/2023 08:00;0;7127;
12/01/2023 09:00;0;7128;
12/01/2023 10:00;0.2;7128;
12/01/2023 11:00;0;7127;
12/01/2023 12:00;0;7127;
12/01/2023 13:00;0;7128;
12/01/2023 14:00;0;7128;
12/01/2023 15:00;0;7130;
12/01/2023 16:00;0;7130;
12/01/2023 17:00;0.2;7129;
12/01/2023 18:00;0;7128;
12/01/2023 19:00;0;7131;
12/01/2023 20:00;0;7131;
12/01/2023 21:00;0;7131;
12/01/2023 22:00;0;7134;
12/01/2023 23:00;0;7135;
13/01/2023 00:00;0;7137;
13/01/2023 01:00;0;7137;
13/01/2023 02:00;0;7137;
13/01/2023 03:00;0;7138;
13/01/2023 04:00;0;7138;
13/01/2023 05:00;0;7136;
13/01/2023 06:00;0;7136;
13/01/2023 07:00;0;7135;
13/01/2023 08:00;0;7136;
13/01/2023 09:00;0;7133;
13/01/2023 10:00;0;7133;
13/01/2023 11:00;0.2;7133;
13/01/2023 12:00;0.2;7131;
13/01/2023 13:00;3.2;7132;
13/01/2023 14:00;3.6;7127;
13/01/2023 15:00;0.4;7130;
13/01/2023 16:00;0.2;7131;
13/01/2023 17:00;0;7130;
13/01/2023 18:00;0;7131;
13/01/2023 19:00;0;7127;
13/01/2023 20:00;0;7127;
13/01/2023 21:00;0;7127;
13/01/2023 22:00;0;7125;
13/01/2023 23:00;0;7125;
14/01/2023 00:00;0;7125;
14/01/2023 01:00;0;7126;
14/01/2023 02:00;0;7128;
14/01/2023 03:00;0;7131;
14/01/2023 04:00;0;7132;
14/01/2023 05:00;0;7131;
14/01/2023 06:00;0;7131;
14/01/2023 07:00;0;7131;
14/01/2023 08:00;0;7131;
14/01/2023 09:00;0;7132;
14/01/2023 10:00;0;7131;
14/01/2023 11:00;0;7129;
14/01/2023 12:00;0;7129;
14/01/2023 13:00;0;7130;
14/01/2023 14:00;0;7128;
14/01/2023 15:00;0;7128;
14/01/2023 16:00;0;7124;
14/01/2023 17:00;0;7124;
14/01/2023 18:00;0;7124;
14/01/2023 19:00;0;7125;
14/01/2023 20:00;0;7127;
14/01/2023 21:00;0;7127;
14/01/2023 22:00;0;7127;
14/01/2023 23:00;0;7128;
15/01/2023 00:00;0;7125;
15/01/2023 01:00;0;7130;
15/01/2023 02:00;0;7131;
15/01/2023 03:00;0;7132;
15/01/2023 04:00;0;7133;
15/01/2023 05:00;0;7133;
15/01/2023 06:00;0.6;7133;
