Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;;913;
01/01/2023 01:00;;918;
01/01/2023 02:00;;927;
01/01/2023 03:00;;932;
01/01/2023 04:00;;935;
01/01/2023 05:00;;939;
01/01/2023 06:00;;941;
01/01/2023 07:00;;944;
01/01/2023 08:00;;947;
01/01/2023 09:00;;947;
01/01/2023 10:00;;949;
01/01/2023 11:00;;947;
01/01/2023 12:00;;944;
01/01/2023 13:00;;939;
01/01/2023 14:00;;933;
01/01/2023 15:00;;927;
01/01/2023 16:00;;923;
01/01/2023 17:00;;917;
01/01/2023 18:00;;912;
01/01/2023 19:00;;908;
01/01/2023 20:00;;904;
01/01/2023 21:00;;901;
01/01/2023 22:00;;898;
01/01/2023 23:00;;896;
02/01/2023 00:00;;893;
02/01/2023 01:00;;891;
02/01/2023 02:00;;889;
02/01/2023 03:00;;888;
02/01/2023 04:00;;886;
02/01/2023 05:00;;885;
02/01/2023 06:00;;884;
02/01/2023 07:00;;883;
02/01/2023 08:00;;882;
02/01/2023 09:00;;881;
02/01/2023 10:00;;883;
02/01/2023 11:00;;883;
02/01/2023 12:00;;-;
02/01/2023 13:00;;-;
02/01/2023 14:00;;-;
02/01/2023 15:00;;-;
02/01/2023 16:00;;883;
02/01/2023 17:00;;883;
02/01/2023 18:00;;883;
02/01/2023 19:00;;883;
02/01/2023 20:00;;883;
02/01/2023 21:00;;881;
02/01/2023 22:00;;878;
02/01/2023 23:00;;877;
03/01/2023 00:00;;875;
03/01/2023 01:00;;872;
03/01/2023 02:00;;870;
03/01/2023 03:00;;868;
03/01/2023 04:00;;866;
03/01/2023 05:00;;865;
03/01/2023 06:00;;863;
03/01/2023 07:00;;862;
03/01/2023 08:00;;862;
03/01/2023 09:00;;862;
03/01/2023 10:00;;865;
03/01/2023 11:00;;868;
03/01/2023 12:00;;874;
03/01/2023 13:00;;876;
03/01/2023 14:00;;879;
03/01/2023 15:00;;881;
03/01/2023 16:00;;883;
03/01/2023 17:00;;884;
03/01/2023 18:00;;885;
03/01/2023 19:00;;886;
03/01/2023 20:00;;888;
03/01/2023 21:00;;889;
03/01/2023 22:00;;890;
03/01/2023 23:00;;891;
04/01/2023 00:00;;892;
04/01/2023 01:00;;892;
04/01/2023 02:00;;892;
04/01/2023 03:00;;893;
04/01/2023 04:00;;893;
04/01/2023 05:00;;893;
04/01/2023 06:00;;895;
04/01/2023 07:00;;898;
04/01/2023 08:00;;899;
04/01/2023 09:00;;902;
04/01/2023 10:00;;904;
04/01/2023 11:00;;907;
04/01/2023 12:00;;909;
04/01/2023 13:00;;911;
04/01/2023 14:00;;914;
04/01/2023 15:00;;917;
04/01/2023 16:00;;922;
04/01/2023 17:00;;922;
04/01/2023 18:00;;925;
04/01/2023 19:00;;926;
04/01/2023 20:00;;927;
