Data-Hora;Chuva (mm);Nível (cm);Vazão (m³/s)
01/01/2023 01:00;--;8204;--
01/01/2023 02:00;--;8204;--
01/01/2023 03:00;--;8205,25;--
01/01/2023 04:00;--;8205,25;--
01/01/2023 05:00;--;8205,25;--
01/01/2023 06:00;--;8205,25;--
01/01/2023 07:00;--;8206,5;--
01/01/2023 08:00;--;8206,5;--
01/01/2023 09:00;--;8206,5;--
01/01/2023 10:00;--;8206,5;--
01/01/2023 11:00;--;8206,5;--
01/01/2023 12:00;--;8209;--
01/01/2023 13:00;--;8207,75;--
01/01/2023 14:00;--;8207,75;--
01/01/2023 15:00;--;8206,5;--
01/01/2023 16:00;--;8207,75;--
01/01/2023 17:00;--;8207,75;--
01/01/2023 18:00;--;8209;--
01/01/2023 19:00;--;8210,25;--
01/01/2023 20:00;--;8210,25;--
01/01/2023 21:00;--;8210,25;--
01/01/2023 22:00;--;8210,25;--
01/01/2023 23:00;--;8211,5;--
02/01/2023 00:00;--;8210,25;--
02/01/2023 01:00;--;8210,25;--
02/01/2023 02:00;--;8210,25;--
02/01/2023 03:00;--;8210,25;--
02/01/2023 04:00;--;8211,5;--
02/01/2023 05:00;--;8211,5;--
02/01/2023 06:00;--;8211,5;--
02/01/2023 07:00;--;8211,5;--
02/01/2023 08:00;--;8211,5;--
02/01/2023 09:00;--;8211,5;--
02/01/2023 10:00;--;8205,25;--
02/01/2023 11:00;--;8211,5;--
02/01/2023 12:00;--;8211,5;--
02/01/2023 13:00;--;8211,5;--
02/01/2023 14:00;--;8211,5;--
02/01/2023 15:00;--;8211,5;--
02/01/2023 16:00;--;8211,5;--
02/01/2023 17:00;--;8211,5;--
02/01/2023 18:00;--;8211,5;--
02/01/2023 19:00;--;8212,75;--
02/01/2023 20:00;--;8212,75;--
02/01/2023 21:00;--;8211,5;--
02/01/2023 22:00;--;8211,5;--
02/01/2023 23:00;--;8211,5;--
03/01/2023 00:00;--;8212,75;--
03/01/2023 01:00;--;8211,5;--
03/01/2023 02:00;--;8211,5;--
03/01/2023 03:00;--;8212,75;--
03/01/2023 04:00;--;8212,75;--
03/01/2023 05:00;--;8211,5;--
03/01/2023 06:00;--;8211,5;--
03/01/2023 07:00;--;8212,75;--
03/01/2023 08:00;--;8212,75;--
03/01/2023 09:00;--;8212,75;--
03/01/2023 10:00;--;8214;--
03/01/2023 11:00;--;8212,75;--
03/01/2023 12:00;--;8212,75;--
03/01/2023 13:00;--;8212,75;--
03/01/2023 14:00;--;8214;--
03/01/2023 15:00;--;8214;--
03/01/2023 16:00;--;8214;--
03/01/2023 17:00;--;8214;--
03/01/2023 18:00;--;8215,25;--
03/01/2023 19:00;--;8215,25;--
03/01/2023 20:00;--;8214;--
03/01/2023 21:00;--;8214;--
03/01/2023 22:00;--;8214;--
03/01/2023 23:00;--;8214;--
04/01/2023 00:00;--;8214;--
04/01/2023 01:00;--;8215,25;--
04/01/2023 02:00;--;8215,25;--
04/01/2023 03:00;--;8214;--
04/01/2023 04:00;--;8215,25;--
04/01/2023 05:00;--;8215,25;--
04/01/2023 06:00;--;8215,25;--
04/01/2023 07:00;--;8215,25;--
04/01/2023 08:00;--;8215,25;--
04/01/2023 09:00;--;8215,25;--
04/01/2023 10:00;--;8214;--
04/01/2023 11:00;--;8214;--
04/01/2023 12:00;--;8215,25;--
04/01/2023 13:00;--;8215,25;--
04/01/2023 14:00;--;8215,25;--
04/01/2023 15:00;--;8215,25;--
04/01/2023 16:00;--;8217,75;--
04/01/2023 17:00;--;8216,5;--
04/01/2023 18:00;--;8216,5;--
04/01/2023 19:00;--;8215,25;--
04/01/2023 20:00;--;8215,25;--
04/01/2023 21:00;--;8214;--
04/01/2023 22:00;--;8215,25;--
04/01/2023 23:00;--;8215,25;--
05/01/2023 00:00;--;8215,25;--
05/01/2023 01:00;--;8215,25;--
05/01/2023 02:00;--;8215,25;--
05/01/2023 03:00;--;8214;--
05/01/2023 04:00;--;8214;--
05/01/2023 05:00;--;8215,25;--
05/01/2023 06:00;--;8215,25;--
05/01/2023 07:00;--;8214;--
05/01/2023 08:00;--;8214;--
05/01/2023 09:00;--;8214;--
05/01/2023 10:00;--;8214;--
05/01/2023 11:00;--;8212,75;--
05/01/2023 12:00;--;8212,75;--
05/01/2023 13:00;--;8214;--
05/01/2023 14:00;--;8214;--
05/01/2023 15:00;--;8214;--
05/01/2023 16:00;--;8214;--
05/01/2023 17:00;--;8212,75;--
05/01/2023 18:00;--;8212,75;--
05/01/2023 19:00;--;8212,75;--
05/01/2023 20:00;--;8212,75;--
05/01/2023 21:00;--;8211,5;--
05/01/2023 22:00;--;8210,25;--
05/01/2023 23:00;--;8210,25;--
06/01/2023 00:00;--;8211,5;--
06/01/2023 01:00;--;8210,25;--
06/01/2023 02:00;--;8210,25;--
06/01/2023 03:00;--;8211,5;--
06/01/2023 04:00;--;8211,5;--
06/01/2023 05:00;--;8211,5;--
06/01/2023 06:00;--;8210,25;--
06/01/2023 07:00;--;8210,25;--
06/01/2023 08:00;--;8210,25;--
06/01/2023 09:00;--;8209;--
06/01/2023 10:00;--;8210,25;--
06/01/2023 11:00;--;8210,25;--
06/01/2023 12:00;--;8210,25;--
06/01/2023 13:00;--;8210,25;--
06/01/2023 14:00;--;8210,25;--
06/01/2023 15:00;--;8210,25;--
06/01/2023 16:00;--;8209;--
