Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;0;700;11184,09
01/01/2023 01:00;0;698;11139,78
01/01/2023 02:00;0;699;11161,92
01/01/2023 03:00;0;698;11139,78
01/01/2023 04:00;0;698;11139,78
01/01/2023 05:00;0;701;11206,29
01/01/2023 06:00;0;703;11250,73
01/01/2023 07:00;0;705;11295,26
01/01/2023 08:00;0;707;11339,87
01/01/2023 09:00;0;711;11429,33
01/01/2023 10:00;0;712;11451,75
01/01/2023 11:00;0;713;11474,19
01/01/2023 12:00;0;715;11519,13
01/01/2023 13:00;1.75;714;11496,65
01/01/2023 14:00;0;715;11519,13
01/01/2023 15:00;0;715;11519,13
01/01/2023 16:00;0;715;11519,13
01/01/2023 17:00;0;714;11496,65
01/01/2023 18:00;0;713;11474,19
01/01/2023 19:00;0;714;11496,65
01/01/2023 20:00;0;712;11451,75
01/01/2023 21:00;0;711;11429,33
01/01/2023 22:00;0;707;11339,87
01/01/2023 23:00;0;706;11317,55
02/01/2023 00:00;0;703;11250,73
02/01/2023 01:00;0;699;11161,92
02/01/2023 02:00;0;698;11139,78
02/01/2023 03:00;0;696;11095,54
02/01/2023 04:00;0;694;11051,39
02/01/2023 05:00;0;692;11007,31
02/01/2023 06:00;0;692;11007,31
02/01/2023 07:00;0;692;11007,31
02/01/2023 08:00;0;691;10985,31
02/01/2023 09:00;0;686;10875,6
02/01/2023 10:00;0;684;10831,86
02/01/2023 11:00;0;684;10831,86
02/01/2023 12:00;0;681;10766,41
02/01/2023 13:00;0;681;10766,41
02/01/2023 14:00;0;681;10766,41
02/01/2023 15:00;0;681;10766,41
02/01/2023 16:00;0;678;10701,14
02/01/2023 17:00;0;678;10701,14
02/01/2023 18:00;0;677;10679,43
02/01/2023 19:00;0;678;10701,14
02/01/2023 20:00;0;678;10701,14
02/01/2023 21:00;0;679;10722,88
02/01/2023 22:00;0.25;678;10701,14
02/01/2023 23:00;0;678;10701,14
03/01/2023 00:00;0.5;677;10679,43
03/01/2023 01:00;0;676;10657,74
03/01/2023 02:00;0;675;10636,06
03/01/2023 03:00;0;674;10614,41
03/01/2023 04:00;0.25;675;10636,06
03/01/2023 05:00;0;673;10592,78
03/01/2023 06:00;0;671;10549,58
03/01/2023 07:00;0;670;10528,01
03/01/2023 08:00;0;670;10528,01
03/01/2023 09:00;0.25;670;10528,01
03/01/2023 10:00;0;667;10463,43
03/01/2023 11:00;0;666;10441,95
03/01/2023 12:00;0;667;10463,43
03/01/2023 13:00;0;666;10441,95
03/01/2023 14:00;0;666;10441,95
03/01/2023 15:00;0;665;10420,48
03/01/2023 16:00;0;665;10420,48
03/01/2023 17:00;0;666;10441,95
03/01/2023 18:00;0;667;10463,43
03/01/2023 19:00;0;667;10463,43
03/01/2023 20:00;0;668;10484,94
03/01/2023 21:00;0;668;10484,94
03/01/2023 22:00;0;672;10571,17
03/01/2023 23:00;0;670;10528,01
04/01/2023 00:00;0;671;10549,58
04/01/2023 01:00;0;671;10549,58
04/01/2023 02:00;0;672;10571,17
04/01/2023 03:00;0;673;10592,78
04/01/2023 04:00;0;673;10592,78
04/01/2023 05:00;0;673;10592,78
04/01/2023 06:00;0;675;10636,06
04/01/2023 07:00;0;676;10657,74
04/01/2023 08:00;0;675;10636,06
04/01/2023 09:00;0;675;10636,06
04/01/2023 10:00;0;678;10701,14
04/01/2023 11:00;0;678;10701,14
04/01/2023 12:00;0;681;10766,41
04/01/2023 13:00;0;679;10722,88
04/01/2023 14:00;0;681;10766,41
04/01/2023 15:00;0;681;10766,41
04/01/2023 16:00;0;682;10788,21
04/01/2023 17:00;0;685;10853,72
04/01/2023 18:00;0;687;10897,5
04/01/2023 19:00;0;688;10919,42
04/01/2023 20:00;0;690;10963,33
04/01/2023 21:00;0;690;10963,33
04/01/2023 22:00;0;694;11051,39
04/01/2023 23:00;0;694;11051,39
05/01/2023 00:00;0;694;11051,39
05/01/2023 01:00;0;695;11073,45
05/01/2023 02:00;0;696;11095,54
05/01/2023 03:00;0;697;11117,65
05/01/2023 04:00;0;698;11139,78
05/01/2023 05:00;0;698;11139,78
05/01/2023 06:00;0;700;11184,09
05/01/2023 07:00;0;700;11184,09
05/01/2023 08:00;0;703;11250,73
05/01/2023 09:00;0;702;11228,5
05/01/2023 10:00;0.25;704;11272,98
05/01/2023 11:00;1.25;703;11250,73
05/01/2023 12:00;0.5;704;11272,98
05/01/2023 13:00;0;706;11317,55
05/01/2023 14:00;0;707;11339,87
05/01/2023 15:00;0;709;11384,56
05/01/2023 16:00;0;712;11451,75
05/01/2023 17:00;0;714;11496,65
05/01/2023 18:00;0;718;11586,7
05/01/2023 19:00;0;721;11654,45
05/01/2023 20:00;0;725;11745,07
05/01/2023 21:00;0;727;11790,51
05/01/2023 22:00;0;730;11858,82
05/01/2023 23:00;0;734;11950,19
06/01/2023 00:00;0;734;11950,19
06/01/2023 01:00;0;735;11973,08
06/01/2023 02:00;0;736;11995,99
06/01/2023 03:00;0;738;12041,88
06/01/2023 04:00;0;737;12018,93
06/01/2023 05:00;0;737;12018,93
06/01/2023 06:00;0;739;12064,86
06/01/2023 07:00;0;739;12064,86
06/01/2023 08:00;0;737;12018,93
06/01/2023 09:00;0;739;12064,86
06/01/2023 10:00;0;739;12064,86
06/01/2023 11:00;0;737;12018,93
06/01/2023 12:00;0;737;12018,93
06/01/2023 13:00;0;736;11995,99
06/01/2023 14:00;1.5;735;11973,08
06/01/2023 15:00;2.25;736;11995,99
06/01/2023 16:00;0;734;11950,19
06/01/2023 17:00;0;733;11927,31
06/01/2023 18:00;0;734;11950,19
06/01/2023 19:00;0;735;11973,08
06/01/2023 20:00;0;736;11995,99
06/01/2023 21:00;0;736;11995,99
06/01/2023 22:00;0;734;11950,19
06/01/2023 23:00;0;734;11950,19
07/01/2023 00:00;0;737;12018,93
07/01/2023 01:00;0;735;11973,08
07/01/2023 02:00;0;733;11927,31
07/01/2023 03:00;1.25;732;11904,46
07/01/2023 04:00;0;733;11927,31
07/01/2023 05:00;0;732;11904,46
07/01/2023 06:00;0;729;11836,03
07/01/2023 07:00;0;729;11836,03
07/01/2023 08:00;0;728;11813,26
07/01/2023 09:00;0;729;11836,03
07/01/2023 10:00;0;726;11767,78
07/01/2023 11:00;0;728;11813,26
07/01/2023 12:00;0;725;11745,07
07/01/2023 13:00;0;725;11745,07
07/01/2023 14:00;0;725;11745,07
07/01/2023 15:00;0;725;11745,07
07/01/2023 16:00;0;725;11745,07
07/01/2023 17:00;0;726;11767,78
07/01/2023 18:00;0;726;11767,78
07/01/2023 19:00;0;728;11813,26
07/01/2023 20:00;0;728;11813,26
07/01/2023 21:00;0;729;11836,03
07/01/2023 22:00;0;729;11836,03
07/01/2023 23:00;0;731;11881,63
08/01/2023 00:00;0;729;11836,03
08/01/2023 01:00;0;729;11836,03
08/01/2023 02:00;0;729;11836,03
08/01/2023 03:00;0;730;11858,82
08/01/2023 04:00;0;730;11858,82
08/01/2023 05:00;0;729;11836,03
08/01/2023 06:00;0;732;11904,46
08/01/2023 07:00;0;733;11927,31
08/01/2023 08:00;0;734;11950,19
08/01/2023 09:00;0;734;11950,19
08/01/2023 10:00;0;734;11950,19
08/01/2023 11:00;0;737;12018,93
08/01/2023 12:00;0;738;12041,88
08/01/2023 13:00;0;738;12041,88
08/01/2023 14:00;0;740;12087,86
08/01/2023 15:00;0;741;12110,88
08/01/2023 16:00;0;743;12156,97
08/01/2023 17:00;0;744;12180,05
08/01/2023 18:00;0;747;12249,41
08/01/2023 19:00;0;748;12272,57
08/01/2023 20:00;0;751;12342,18
08/01/2023 21:00;0;754;12411,98
08/01/2023 22:00;0;756;12458,61
08/01/2023 23:00;0;762;12599
09/01/2023 00:00;0;765;12669,47
09/01/2023 01:00;0;767;12716,56
09/01/2023 02:00;0;773;12858,31
09/01/2023 03:00;0.25;775;12905,72
09/01/2023 04:00;14.25;781;13048,45
09/01/2023 05:00;15.5;784;13120,1
09/01/2023 06:00;4.25;784;13120,1
09/01/2023 07:00;2.75;788;13215,91
09/01/2023 08:00;1.25;788;13215,91
09/01/2023 09:00;0;790;13263,94
09/01/2023 10:00;0;792;13309,34
09/01/2023 11:00;0;792;13309,34
09/01/2023 12:00;0;795;13377,58
09/01/2023 13:00;0;796;13400,36
09/01/2023 14:00;0;797;13423,16
09/01/2023 15:00;0;798;13445,98
09/01/2023 16:00;0;799;13468,81
09/01/2023 17:00;0;800;13491,67
09/01/2023 18:00;0;1185;23634
09/01/2023 19:00;0;1187;23693,61
09/01/2023 20:00;0;1190;23783,15
09/01/2023 21:00;0;1191;23813,04
09/01/2023 22:00;0;1195;23932,75
09/01/2023 23:00;0;1196;23962,72
10/01/2023 00:00;0;1198;24022,72
10/01/2023 01:00;4.25;1199;24052,74
10/01/2023 02:00;1.25;1200;24082,79
10/01/2023 03:00;0;1199;24052,74
10/01/2023 04:00;0;1199;24052,74
10/01/2023 05:00;0;1201;24112,85
10/01/2023 06:00;0;1201;24112,85
10/01/2023 07:00;0;1202;24142,93
10/01/2023 08:00;0;1202;24142,93
10/01/2023 09:00;0;1201;24112,85
10/01/2023 10:00;0;1201;24112,85
10/01/2023 11:00;0;1202;24142,93
10/01/2023 12:00;0;1202;24142,93
10/01/2023 13:00;0;1200;24082,79
10/01/2023 14:00;0;1200;24082,79
10/01/2023 15:00;0;1200;24082,79
10/01/2023 16:00;0;1200;24082,79
10/01/2023 17:00;0;1201;24112,85
10/01/2023 18:00;0;1201;24112,85
10/01/2023 19:00;0;1202;24142,93
10/01/2023 20:00;0;1202;24142,93
