Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;-;-;-
01/01/2023 01:00;-;-;-
01/01/2023 02:00;-;-;-
01/01/2023 03:00;-;-;-
01/01/2023 04:00;-;-;-
01/01/2023 05:00;-;-;-
01/01/2023 06:00;-;-;-
01/01/2023 07:00;-;-;-
01/01/2023 08:00;-;-;-
01/01/2023 09:00;-;-;-
01/01/2023 10:00;-;-;-
01/01/2023 11:00;-;-;-
01/01/2023 12:00;-;-;-
01/01/2023 13:00;-;-;-
01/01/2023 14:00;-;-;-
01/01/2023 15:00;-;-;-
01/01/2023 16:00;-;-;-
01/01/2023 17:00;-;-;-
01/01/2023 18:00;-;-;-
01/01/2023 19:00;-;-;-
01/01/2023 20:00;-;-;-
01/01/2023 21:00;-;-;-
01/01/2023 22:00;-;-;-
01/01/2023 23:00;-;-;-
02/01/2023 00:00;-;-;-
02/01/2023 01:00;-;-;-
02/01/2023 02:00;-;-;-
02/01/2023 03:00;-;-;-
02/01/2023 04:00;-;-;-
02/01/2023 05:00;-;-;-
02/01/2023 06:00;-;-;-
02/01/2023 07:00;-;-;-
02/01/2023 08:00;-;-;-
02/01/2023 09:00;-;-;-
02/01/2023 10:00;-;-;-
02/01/2023 11:00;-;-;-
02/01/2023 12:00;-;-;-
02/01/2023 13:00;-;-;-
02/01/2023 14:00;-;-;-
02/01/2023 15:00;-;-;-
02/01/2023 16:00;-;-;-
02/01/2023 17:00;-;-;-
02/01/2023 18:00;-;-;-
02/01/2023 19:00;-;-;-
02/01/2023 20:00;-;-;-
02/01/2023 21:00;-;-;-
02/01/2023 22:00;-;-;-
02/01/2023 23:00;-;-;-
03/01/2023 00:00;-;-;-
03/01/2023 01:00;-;-;-
03/01/2023 02:00;-;-;-
03/01/2023 03:00;-;-;-
03/01/2023 04:00;-;-;-
03/01/2023 05:00;-;-;-
03/01/2023 06:00;-;-;-
03/01/2023 07:00;-;-;-
03/01/2023 08:00;-;-;-
03/01/2023 09:00;-;-;-
03/01/2023 10:00;-;-;-
03/01/2023 11:00;-;-;-
03/01/2023 12:00;0;1563;-
03/01/2023 13:00;0.25;1562;-
03/01/2023 14:00;-;-;-
03/01/2023 15:00;-;-;-
03/01/2023 16:00;-;-;-
03/01/2023 17:00;-;-;-
03/01/2023 18:00;-;-;-
03/01/2023 19:00;-;-;-
03/01/2023 20:00;-;-;-
03/01/2023 21:00;-;-;-
03/01/2023 22:00;-;-;-
03/01/2023 23:00;-;-;-
04/01/2023 00:00;-;-;-
04/01/2023 01:00;-;-;-
04/01/2023 02:00;-;-;-
04/01/2023 03:00;-;-;-
04/01/2023 04:00;-;-;-
04/01/2023 05:00;-;-;-
04/01/2023 06:00;-;-;-
04/01/2023 07:00;-;-;-
04/01/2023 08:00;-;-;-
04/01/2023 09:00;0.25;1566;-
04/01/2023 10:00;0;1566;-
04/01/2023 11:00;0;1566;-
04/01/2023 12:00;0;1567;-
04/01/2023 13:00;0;1568;-
04/01/2023 14:00;0;1568;-
04/01/2023 15:00;0;1569;-
04/01/2023 16:00;0;1570;-
04/01/2023 17:00;0;1571;-
04/01/2023 18:00;0;1572;-
04/01/2023 19:00;0;1572;-
04/01/2023 20:00;-;-;-
04/01/2023 21:00;-;-;-
04/01/2023 22:00;-;-;-
04/01/2023 23:00;-;-;-
05/01/2023 00:00;-;-;-
05/01/2023 01:00;-;-;-
05/01/2023 02:00;-;-;-
05/01/2023 03:00;-;-;-
05/01/2023 04:00;-;-;-
05/01/2023 05:00;-;-;-
05/01/2023 06:00;-;-;-
05/01/2023 07:00;-;-;-
05/01/2023 08:00;-;-;-
05/01/2023 09:00;-;-;-
05/01/2023 10:00;-;-;-
05/01/2023 11:00;-;-;-
05/01/2023 12:00;-;-;-
05/01/2023 13:00;0;1589;-
05/01/2023 14:00;0;1590;-
05/01/2023 15:00;0;1590;-
05/01/2023 16:00;0.5;1592;-
05/01/2023 17:00;0;1592;-
05/01/2023 18:00;0;1593;-
05/01/2023 19:00;0;1595;-
05/01/2023 20:00;0;1596;-
05/01/2023 21:00;0;1598;-
05/01/2023 22:00;0;1599;-
05/01/2023 23:00;0;1601;-
06/01/2023 00:00;0;1602;-
06/01/2023 01:00;0;1603;-
06/01/2023 02:00;0;1605;-
06/01/2023 03:00;0;1606;-
06/01/2023 04:00;0;1608;-
06/01/2023 05:00;0;1609;-
06/01/2023 06:00;0;1610;-
06/01/2023 07:00;0;1611;-
06/01/2023 08:00;0;1612;-
06/01/2023 09:00;0;1612;-
06/01/2023 10:00;0;1613;-
06/01/2023 11:00;0;1614;-
06/01/2023 12:00;0;1614;-
06/01/2023 13:00;0;1614;-
06/01/2023 14:00;0.25;1615;-
06/01/2023 15:00;0;1615;-
06/01/2023 16:00;0;1615;-
06/01/2023 17:00;0;1614;-
06/01/2023 18:00;0;1615;-
06/01/2023 19:00;0;1615;-
06/01/2023 20:00;0;1615;-
06/01/2023 21:00;0;1615;-
06/01/2023 22:00;0;1615;-
06/01/2023 23:00;0;1615;-
07/01/2023 00:00;0;1615;-
07/01/2023 01:00;2;1615;-
07/01/2023 02:00;1;1615;-
07/01/2023 03:00;0;1615;-
07/01/2023 04:00;0;1615;-
07/01/2023 05:00;0;1615;-
07/01/2023 06:00;0;1614;-
07/01/2023 07:00;0;1614;-
07/01/2023 08:00;0;1613;-
07/01/2023 09:00;0;1609;-
07/01/2023 10:00;0;1611;-
07/01/2023 11:00;0;1614;-
07/01/2023 12:00;0;1615;-
07/01/2023 13:00;0.25;1614;-
07/01/2023 14:00;11.25;1614;-
07/01/2023 15:00;0;1614;-
07/01/2023 16:00;0;1614;-
07/01/2023 17:00;0;1614;-
07/01/2023 18:00;0;1614;-
07/01/2023 19:00;0;1614;-
07/01/2023 20:00;0;1614;-
07/01/2023 21:00;0;1614;-
07/01/2023 22:00;0;1614;-
07/01/2023 23:00;0;1614;-
08/01/2023 00:00;0;1614;-
08/01/2023 01:00;0;1614;-
08/01/2023 02:00;0;1614;-
08/01/2023 03:00;0;1614;-
08/01/2023 04:00;0;1614;-
08/01/2023 05:00;0;1614;-
08/01/2023 06:00;0;1615;-
08/01/2023 07:00;0;1615;-
08/01/2023 08:00;0;1615;-
08/01/2023 09:00;0;1615;-
08/01/2023 10:00;0;1616;-
08/01/2023 11:00;0;1617;-
08/01/2023 12:00;0;1617;-
08/01/2023 13:00;0;1618;-
08/01/2023 14:00;0.25;1619;-
08/01/2023 15:00;0;1620;-
08/01/2023 16:00;0;1621;-
08/01/2023 17:00;0;1622;-
08/01/2023 18:00;0;1622;-
08/01/2023 19:00;0;1623;-
08/01/2023 20:00;0;1625;-
08/01/2023 21:00;0;1626;-
08/01/2023 22:00;0;1627;-
08/01/2023 23:00;0;1629;-
09/01/2023 00:00;0;1631;-
09/01/2023 01:00;0;1634;-
09/01/2023 02:00;0;1637;-
09/01/2023 03:00;0;1639;-
09/01/2023 04:00;0;1641;-
09/01/2023 05:00;2;1644;-
09/01/2023 06:00;3.5;1647;-
09/01/2023 07:00;0.5;1648;-
09/01/2023 08:00;0;1650;-
09/01/2023 09:00;0;1652;-
09/01/2023 10:00;1.5;1655;-
09/01/2023 11:00;4.25;1656;-
09/01/2023 12:00;0.25;1658;-
09/01/2023 13:00;0.25;1659;-
09/01/2023 14:00;0;1661;-
09/01/2023 15:00;-;-;-
09/01/2023 16:00;0;1664;-
09/01/2023 17:00;0;1665;-
09/01/2023 18:00;-;-;-
09/01/2023 19:00;0;1668;-
09/01/2023 20:00;0;1669;-
09/01/2023 21:00;-;-;-
09/01/2023 22:00;0;1672;-
09/01/2023 23:00;-;-;-
10/01/2023 00:00;1;1675;-
10/01/2023 01:00;0;1677;-
10/01/2023 02:00;17;1679;-
10/01/2023 03:00;4.25;1680;-
10/01/2023 04:00;-;-;-
10/01/2023 05:00;0.25;1682;-
10/01/2023 06:00;-;-;-
10/01/2023 07:00;0.25;1685;-
10/01/2023 08:00;0;1686;-
10/01/2023 09:00;-;-;-
10/01/2023 10:00;0;1688;-
10/01/2023 11:00;0;1689;-
10/01/2023 12:00;-;-;-
10/01/2023 13:00;-;-;-
10/01/2023 14:00;-;-;-
10/01/2023 15:00;-;-;-
10/01/2023 16:00;-;-;-
10/01/2023 17:00;-;-;-
10/01/2023 18:00;-;-;-
10/01/2023 19:00;1;1694;-
10/01/2023 20:00;-;-;-
10/01/2023 21:00;-;-;-
10/01/2023 22:00;0;1695;-
10/01/2023 23:00;0;1696;-
11/01/2023 00:00;0;1697;-
11/01/2023 01:00;0;1697;-
11/01/2023 02:00;0;1697;-
11/01/2023 03:00;0;1697;-
11/01/2023 04:00;-;-;-
11/01/2023 05:00;0;1699;-
11/01/2023 06:00;-;-;-
11/01/2023 07:00;0;1700;-
11/01/2023 08:00;-;-;-
11/01/2023 09:00;-;-;-
11/01/2023 10:00;0;1702;-
11/01/2023 11:00;-;-;-
11/01/2023 12:00;0;1704;-
11/01/2023 13:00;0;1704;-
11/01/2023 14:00;-;-;-
11/01/2023 15:00;-;-;-
11/01/2023 16:00;-;-;-
11/01/2023 17:00;0;1706;-
11/01/2023 18:00;0;1705;-
11/01/2023 19:00;0;1705;-
11/01/2023 20:00;0;1705;-
11/01/2023 21:00;0;1705;-
11/01/2023 22:00;0;1705;-
11/01/2023 23:00;0;1705;-
12/01/2023 00:00;0;1705;-
12/01/2023 01:00;0;1705;-
12/01/2023 02:00;-;-;-
12/01/2023 03:00;0;1705;-
12/01/2023 04:00;-;-;-
12/01/2023 05:00;0;1705;-
12/01/2023 06:00;0;1705;-
12/01/2023 07:00;1.25;1705;-
12/01/2023 08:00;0.75;1705;-
12/01/2023 09:00;-;-;-
12/01/2023 10:00;0;1705;-
12/01/2023 11:00;-;-;-
12/01/2023 12:00;-;-;-
12/01/2023 13:00;-;-;-
12/01/2023 14:00;-;-;-
12/01/2023 15:00;-;-;-
12/01/2023 16:00;2.5;1703;-
12/01/2023 17:00;0.25;1703;-
12/01/2023 18:00;0;1703;-
12/01/2023 19:00;0;1702;-
12/01/2023 20:00;-;-;-
12/01/2023 21:00;0;1702;-
12/01/2023 22:00;-;-;-
12/01/2023 23:00;-;-;-
13/01/2023 00:00;0;1700;-
13/01/2023 01:00;0;1699;-
13/01/2023 02:00;-;-;-
13/01/2023 03:00;-;-;-
13/01/2023 04:00;0.25;1696;-
13/01/2023 05:00;0;1694;-
13/01/2023 06:00;0;1693;-
13/01/2023 07:00;0;1693;-
13/01/2023 08:00;-;-;-
13/01/2023 09:00;0;1690;-
13/01/2023 10:00;0;1689;-
13/01/2023 11:00;0;1687;-
