Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s)
01/01/2023 00:00;0;1587;17723.83
01/01/2023 01:00;0;1093;5969.97
01/01/2023 02:00;0;1093;5969.97
01/01/2023 03:00;0;1093;5969.97
01/01/2023 04:00;0.2;1094;5987.74
01/01/2023 05:00;0;1094;5987.74
01/01/2023 06:00;4.6;1094;5987.74
01/01/2023 07:00;0;1093;5969.97
01/01/2023 08:00;0;1093;5969.97
01/01/2023 09:00;0.2;1092;5952.24
01/01/2023 10:00;0;1091;5934.52
01/01/2023 11:00;0;1091;5934.52
01/01/2023 12:00;0.2;1090;5916.83
01/01/2023 13:00;0;1091;5934.52
01/01/2023 14:00;4.6;1092;5952.24
01/01/2023 15:00;6.6;1091;5934.52
01/01/2023 16:00;0.4;1091;5934.52
01/01/2023 17:00;0;1092;5952.24
01/01/2023 18:00;0.2;1092;5952.24
01/01/2023 19:00;0;1092;5952.24
01/01/2023 20:00;0;1094;5987.74
01/01/2023 21:00;0;1094;5987.74
01/01/2023 22:00;0;1095;6005.53
01/01/2023 23:00;0.2;1095;6005.53
02/01/2023 00:00;0;1095;6005.53
02/01/2023 01:00;0;1096;6023.34
02/01/2023 02:00;0;1097;6041.18
02/01/2023 03:00;0;1098;6059.04
02/01/2023 04:00;0.2;1097;6041.18
02/01/2023 05:00;0;1096;6023.34
02/01/2023 06:00;0;1096;6023.34
02/01/2023 07:00;0;1096;6023.34
02/01/2023 08:00;0;1099;6076.93
02/01/2023 09:00;0;1096;6023.34
02/01/2023 10:00;0.2;1095;6005.53
02/01/2023 11:00;0;1095;6005.53
02/01/2023 12:00;0;1095;6005.53
02/01/2023 13:00;0;1095;6005.53
02/01/2023 14:00;0;1095;6005.53
02/01/2023 15:00;0.2;1094;5987.74
02/01/2023 16:00;0;1095;6005.53
02/01/2023 17:00;0;1094;5987.74
02/01/2023 18:00;0;1094;5987.74
02/01/2023 19:00;0;1093;5969.97
02/01/2023 20:00;3.8;1094;5987.74
02/01/2023 21:00;1.2;1091;5934.52
02/01/2023 22:00;0.2;1091;5934.52
02/01/2023 23:00;0.2;1091;5934.52
03/01/2023 00:00;0;1089;5899.17
03/01/2023 01:00;0;1091;5934.52
03/01/2023 02:00;0;1089;5899.17
03/01/2023 03:00;0;1089;5899.17
03/01/2023 04:00;0.2;1088;5881.53
03/01/2023 05:00;0;1088;5881.53
03/01/2023 06:00;0;1088;5881.53
03/01/2023 07:00;0;1088;5881.53
03/01/2023 08:00;0;1089;5899.17
03/01/2023 09:00;0;1088;5881.53
03/01/2023 10:00;0;1086;5846.33
03/01/2023 11:00;0;1086;5846.33
03/01/2023 12:00;0;1086;5846.33
03/01/2023 13:00;0.2;1086;5846.33
03/01/2023 14:00;0;1088;5881.53
03/01/2023 15:00;0;1087;5863.92
03/01/2023 16:00;0;1088;5881.53
03/01/2023 17:00;0;1087;5863.92
03/01/2023 18:00;0;1088;5881.53
03/01/2023 19:00;0;1088;5881.53
03/01/2023 20:00;0;1086;5846.33
03/01/2023 21:00;0;1086;5846.33
03/01/2023 22:00;0.2;1086;5846.33
03/01/2023 23:00;0;1086;5846.33
04/01/2023 00:00;0;1085;5828.77
04/01/2023 01:00;0;1086;5846.33
04/01/2023 02:00;0;1087;5863.92
04/01/2023 03:00;0;1086;5846.33
04/01/2023 04:00;0;1086;5846.33
04/01/2023 05:00;0;1086;5846.33
04/01/2023 06:00;0;1086;5846.33
04/01/2023 07:00;0;1089;5899.17
04/01/2023 08:00;0;1091;5934.52
04/01/2023 09:00;0.2;1088;5881.53
04/01/2023 10:00;0;1088;5881.53
04/01/2023 11:00;0;1089;5899.17
04/01/2023 12:00;0;1091;5934.52
04/01/2023 13:00;0;1091;5934.52
04/01/2023 14:00;0;1091;5934.52
04/01/2023 15:00;0;1091;5934.52
04/01/2023 16:00;0;1093;5969.97
04/01/2023 17:00;0.2;1093;5969.97
04/01/2023 18:00;0.6;1093;5969.97
04/01/2023 19:00;0.4;1093;5969.97
04/01/2023 20:00;0.2;1092;5952.24
04/01/2023 21:00;0;1093;5969.97
04/01/2023 22:00;0;1092;5952.24
04/01/2023 23:00;0;1094;5987.74
05/01/2023 00:00;0;1093;5969.97
05/01/2023 01:00;0;1093;5969.97
05/01/2023 02:00;0;1094;5987.74
05/01/2023 03:00;0.2;1094;5987.74
05/01/2023 04:00;0;1094;5987.74
05/01/2023 05:00;0;1098;6059.04
05/01/2023 06:00;0;1097;6041.18
05/01/2023 07:00;0;1095;6005.53
05/01/2023 08:00;0;1096;6023.34
05/01/2023 09:00;0;1100;6094.84
05/01/2023 10:00;0;1096;6023.34
05/01/2023 11:00;0;1095;6005.53
05/01/2023 12:00;0;1095;6005.53
05/01/2023 13:00;0.8;1096;6023.34
05/01/2023 14:00;29.4;1098;6059.04
05/01/2023 15:00;8.6;1097;6041.18
05/01/2023 16:00;2.2;1099;6076.93
05/01/2023 17:00;1;1102;6130.75
05/01/2023 18:00;0.6;1104;6166.75
05/01/2023 19:00;0;1105;6184.79
05/01/2023 20:00;0;1105;6184.79
05/01/2023 21:00;0;1104;6166.75
05/01/2023 22:00;0;1105;6184.79
05/01/2023 23:00;0;1108;6239.05
06/01/2023 00:00;0.2;1105;6184.79
06/01/2023 01:00;0;1104;6166.75
06/01/2023 02:00;0;1104;6166.75
06/01/2023 03:00;0;1104;6166.75
06/01/2023 04:00;0;1104;6166.75
06/01/2023 05:00;0;1104;6166.75
06/01/2023 06:00;0;1106;6202.85
06/01/2023 07:00;0;1105;6184.79
06/01/2023 08:00;0;1105;6184.79
06/01/2023 09:00;0;1105;6184.79
06/01/2023 10:00;0;1105;6184.79
06/01/2023 11:00;0;1106;6202.85
06/01/2023 12:00;0.2;1106;6202.85
06/01/2023 13:00;1.4;1106;6202.85
06/01/2023 14:00;4.2;1686;20781.7
06/01/2023 15:00;0;1683;20685.66
06/01/2023 16:00;0;1687;20813.77
06/01/2023 17:00;0;1684;20717.65
06/01/2023 18:00;0;1685;20749.67
06/01/2023 19:00;0;1684;20717.65
06/01/2023 20:00;0;1684;20717.65
06/01/2023 21:00;0;1684;20717.65
06/01/2023 22:00;0;1684;20717.65
06/01/2023 23:00;0;1686;20781.7
07/01/2023 00:00;0;1684;20717.65
