Data-Hora;Chuva (mm);Nível (cm);Vazão (m3/s);;;
01/10/2023 23:59;;351,75;211,83;;;
01/10/2023 22:59;;351,75;211,83;;;
01/10/2023 21:59;;351,13;211,1;;;
01/10/2023 20:59;;351,13;211,1;;;
01/10/2023 19:59;;353;213,29;;;
01/10/2023 18:59;;351,13;211,1;;;
01/10/2023 17:59;;351,13;211,1;;;
01/10/2023 16:59;;354,25;214,75;;;
01/10/2023 15:59;;355,5;216,22;;;
01/10/2023 14:59;;353,63;214,02;;;
01/10/2023 13:59;;351,13;211,1;;;
01/10/2023 12:59;;350,5;210,37;;;
01/10/2023 11:59;;349,88;209,65;;;
01/10/2023 10:59;;351,13;211,1;;;
01/10/2023 09:59;;354,88;215,49;;;
01/10/2023 08:59;;355,5;216,22;;;
01/10/2023 07:59;;353,63;214,02;;;
01/10/2023 06:59;;351,13;211,1;;;
01/10/2023 05:59;;353,63;214,02;;;
01/10/2023 04:59;;354,88;215,49;;;
01/10/2023 03:59;;356,75;217,69;;;
01/10/2023 02:59;;356,13;216,95;;;
01/10/2023 01:59;;354,88;215,49;;;
01/10/2023 00:59;;355,5;216,22;;;
;;;;;;
17/10/2023 00:59;;359,26;220,63;;;
17/10/2023 01:59;;361,76;223,59;;;
17/10/2023 02:59;;363,63;225,81;;;
17/10/2023 03:59;;364,88;227,3;;;
17/10/2023 04:59;;359,26;220,63;;;
17/10/2023 05:59;;359;219,16;;;
17/10/2023 06:59;;360,6;222,11;;;
17/10/2023 07:59;;361,75;223,59;;;
17/10/2023 08:59;;361,75;223,59;;;
17/10/2023 09:59;;362,38;224,33;;;
17/10/2023 10:59;;364;225,07;;;
17/10/2023 11:59;;363,63;225,81;;;
17/10/2023 12:59;;364,88;227,3;;;
17/10/2023 13:59;;364,88;227,3;;;
17/10/2023 14:59;;365,6;228,05;;;
17/10/2023 15:59;;358,63;219,9;;;
17/10/2023 16:59;;359;219,16;;;
17/10/2023 17:59;;357,38;218,42;;;
17/10/2023 18:59;;357,38;218,42;;;
17/10/2023 19:59;;357,38;218,42;;;
17/10/2023 20:59;;356,75;217,69;;;
17/10/2023 21:59;;356,13;216,95;;;
17/10/2023 22:59;;356,75;217,69;;;
17/10/2023 23:59;;355,6;216,22;;;
18/10/2023 00:59;;354,25;214,75;;;
18/10/2023 01:59;;353;213,29;;;
18/10/2023 02:59;;353;213,29;;;
18/10/2023 03:59;;351,75;211,83;;;
18/10/2023 04:59;;351,75;211,83;;;
18/10/2023 05:59;;351,13;211,1;;;
18/10/2023 06:59;;351,13;211,1;;;
18/10/2023 07:59;;350,5;210,37;;;
18/10/2023 08:59;;350,5;210,37;;;
18/10/2023 09:59;;349,88;209,65;;;
18/10/2023 10:59;;349,88;209,65;;;
18/10/2023 11:59;;349,25;208,92;;;
18/10/2023 12:59;;349,25;208,92;;;
18/10/2023 13:59;;349,25;208,92;;;
18/10/2023 14:59;;348,63;208,19;;;
18/10/2023 15:59;;348,63;208,19;;;
18/10/2023 16:59;;348;207,47;;;
18/10/2023 17:59;;348,63;208,19;;;
18/10/2023 18:59;;348,63;208,19;;;
18/10/2023 19:59;;348,63;208,19;;;
18/10/2023 20:59;;348,63;208,19;;;
18/10/2023 21:59;;348,63;208,19;;;
18/10/2023 22:59;;348625;208,19;;;
18/10/2023 23:59;;350,5;210,37;;;
19/10/2023 00:59;;351,75;211,83;;;
19/10/2023 01:59;;351,13;211,1;;;
19/10/2023 02:59;;349,25;208,92;;;
19/10/2023 03:59;;349,25;208,92;;;
19/10/2023 04:59;;349,88;209,65;;;
19/10/2023 05:59;;349,88;209,65;;;
19/10/2023 06:59;;349875;209,65;;;
19/10/2023 07:59;;350,5;210,37;;;
19/10/2023 08:59;;350,5;210,37;;;
19/10/2023 09:59;;351,13;211,1;;;
19/10/2023 10:59;;351,13;211,1;;;
19/10/2023 11:59;;350,5;210,37;;;
19/10/2023 12:59;;351,13;211,1;;;
19/10/2023 13:59;;351,13;211,1;;;
19/10/2023 14:59;;351,75;211,83;;;
19/10/2023 15:59;;351,125;211,1;;;
19/10/2023 16:59;;351,125;211,1;;;
19/10/2023 17:59;;351,125;211,1;;;
19/10/2023 18:59;;351,75;211,83;;;
19/10/2023 19:59;;351,125;211,1;;;
19/10/2023 20:59;;356,75;217,69;;;
19/10/2023 21:59;;351,125;211,1;;;
19/10/2023 22:59;;350,5;210,37;;;
19/10/2023 23:59;;350,5;210,37;;;
20/10/2023 00:59;;350,5;210,37;;;
20/10/2023 01:59;;350,5;210,37;;;
20/10/2023 02:59;;351,125;211,1;;;
