Data;Chuva (mm);Nivel (cm);Vazão (m³/s);;;;;0
01/01/2023 01:00;--;3171,5;--;;;;;
01/01/2023 02:00;--;3171,5;--;;;;;
01/01/2023 03:00;--;3171,5;--;;;;;
01/01/2023 04:00;--;3171,5;--;;;;;
01/01/2023 05:00;--;3171,5;--;;;;;
01/01/2023 06:00;--;3171,5;--;;;;;
01/01/2023 07:00;--;3171,5;--;;;;;
01/01/2023 08:00;--;3172,75;--;;;;;
01/01/2023 09:00;--;3175,875;--;;;;;
01/01/2023 10:00;--;3173,375;--;;;;;
01/01/2023 11:00;--;3175,25;--;;;;;
01/01/2023 12:00;--;3176,5;--;;;;;
01/01/2023 13:00;--;3176,5;--;;;;;
01/01/2023 14:00;--;3177,125;--;;;;;
01/01/2023 15:00;--;3176,5;--;;;;;
01/01/2023 16:00;--;3175,875;--;;;;;
01/01/2023 17:00;--;3176,5;--;;;;;
01/01/2023 18:00;--;3175,875;--;;;;;
01/01/2023 19:00;--;3175,25;--;;;;;
01/01/2023 20:00;--;3175,25;--;;;;;
01/01/2023 21:00;--;3175,25;--;;;;;
01/01/2023 22:00;--;3175,25;--;;;;;
01/01/2023 23:00;--;3175,25;--;;;;;
02/01/2023 00:00;--;3175,25;--;;;;;
02/01/2023 01:00;--;3174;--;;;;;
02/01/2023 02:00;--;3174;--;;;;;
02/01/2023 03:00;--;3173,375;--;;;;;
02/01/2023 04:00;--;3173,375;--;;;;;
02/01/2023 05:00;--;3173,375;--;;;;;
02/01/2023 06:00;--;3173,375;--;;;;;
02/01/2023 07:00;--;3173,375;--;;;;;
02/01/2023 08:00;--;3172,75;--;;;;;
02/01/2023 09:00;--;3172,75;--;;;;;
02/01/2023 10:00;--;3172,125;--;;;;;
02/01/2023 11:00;--;3171,5;--;;;;;
02/01/2023 12:00;--;3171,5;--;;;;;
02/01/2023 13:00;--;3170,875;--;;;;;
02/01/2023 14:00;--;3171,5;--;;;;;
02/01/2023 15:00;--;3171,5;--;;;;;
02/01/2023 16:00;--;3170,875;--;;;;;
02/01/2023 17:00;--;3172,125;--;;;;;
02/01/2023 18:00;--;3170,875;--;;;;;
02/01/2023 19:00;--;3172,125;--;;;;;
02/01/2023 20:00;--;3172,75;--;;;;;
02/01/2023 21:00;--;3172,75;--;;;;;
02/01/2023 22:00;--;3172,125;--;;;;;
02/01/2023 23:00;--;3172,125;--;;;;;
03/01/2023 00:00;--;3171,5;--;;;;;
03/01/2023 01:00;--;3171,5;--;;;;;
03/01/2023 02:00;--;3171,5;--;;;;;
03/01/2023 03:00;--;3172,125;--;;;;;
03/01/2023 04:00;--;3172,125;--;;;;;
03/01/2023 05:00;--;3171,5;--;;;;;
03/01/2023 06:00;--;3171,5;--;;;;;
03/01/2023 07:00;--;3171,5;--;;;;;
03/01/2023 08:00;--;3170,875;--;;;;;
03/01/2023 09:00;--;3171,5;--;;;;;
03/01/2023 10:00;--;3170,875;--;;;;;
03/01/2023 11:00;--;3170,25;--;;;;;
