Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/05/2023 00:00:00;9542.00;;0.00;;;;;;;
01/05/2023 01:00:00;9542.00;;0.00;;;;;;;
01/05/2023 02:00:00;9545.00;;0.00;;;;;;;
01/05/2023 03:00:00;9549.00;;0.00;;;;;;;
01/05/2023 04:00:00;9551.00;;0.00;;;;;;;
01/05/2023 05:00:00;9555.00;;0.00;;;;;;;
01/05/2023 06:00:00;9556.00;;0.00;;;;;;;
01/05/2023 07:00:00;9558.00;;0.00;;;;;;;
01/05/2023 08:00:00;9565.00;;0.00;;;;;;;
01/05/2023 09:00:00;9573.00;;0.00;;;;;;;
01/05/2023 10:00:00;9583.00;;0.00;;;;;;;
01/05/2023 11:00:00;9586.00;;0.00;;;;;;;
01/05/2023 12:00:00;9591.00;;0.00;;;;;;;
01/05/2023 13:00:00;9595.00;;0.00;;;;;;;
01/05/2023 14:00:00;9599.00;;0.00;;;;;;;
01/05/2023 15:00:00;9595.00;;0.00;;;;;;;
01/05/2023 16:00:00;9593.00;;0.00;;;;;;;
01/05/2023 17:00:00;9584.00;;0.00;;;;;;;
01/05/2023 18:00:00;9578.00;;0.00;;;;;;;
01/05/2023 19:00:00;9571.00;;0.00;;;;;;;
01/05/2023 20:00:00;9574.00;;0.00;;;;;;;
01/05/2023 21:00:00;9568.00;;0.00;;;;;;;
01/05/2023 22:00:00;9567.00;;0.00;;;;;;;
01/05/2023 23:00:00;9566.00;;0.00;;;;;;;
02/05/2023 00:00:00;9564.00;;0.00;;;;;;;
02/05/2023 01:00:00;9560.00;;0.00;;;;;;;
02/05/2023 02:00:00;9561.00;;0.00;;;;;;;
02/05/2023 03:00:00;9554.00;;0.00;;;;;;;
02/05/2023 04:00:00;9552.00;;0.00;;;;;;;
02/05/2023 05:00:00;9552.00;;0.00;;;;;;;
02/05/2023 06:00:00;9545.00;;0.00;;;;;;;
02/05/2023 07:00:00;9542.00;;0.00;;;;;;;
02/05/2023 08:00:00;9540.00;;0.00;;;;;;;
02/05/2023 09:00:00;9538.00;;0.00;;;;;;;
02/05/2023 10:00:00;9534.00;;0.00;;;;;;;
02/05/2023 11:00:00;9534.00;;0.00;;;;;;;
02/05/2023 12:00:00;9531.00;;0.00;;;;;;;
02/05/2023 13:00:00;9530.00;;0.00;;;;;;;
02/05/2023 14:00:00;9526.00;;0.00;;;;;;;
02/05/2023 15:00:00;9525.00;;0.00;;;;;;;
02/05/2023 16:00:00;9523.00;;0.00;;;;;;;
02/05/2023 17:00:00;9521.00;;0.00;;;;;;;
02/05/2023 18:00:00;9517.00;;0.00;;;;;;;
02/05/2023 19:00:00;9514.00;;0.00;;;;;;;
02/05/2023 20:00:00;9514.00;;0.00;;;;;;;
02/05/2023 21:00:00;9514.00;;0.00;;;;;;;
02/05/2023 22:00:00;9514.00;;0.00;;;;;;;
02/05/2023 23:00:00;9513.00;;0.00;;;;;;;
03/05/2023 00:00:00;9511.00;;0.00;;;;;;;
03/05/2023 01:00:00;9509.00;;0.00;;;;;;;
03/05/2023 02:00:00;9509.00;;0.00;;;;;;;
03/05/2023 04:00:00;9508.00;;0.00;;;;;;;
03/05/2023 05:00:00;9508.00;;0.00;;;;;;;
03/05/2023 06:00:00;9503.00;;0.00;;;;;;;
03/05/2023 07:00:00;9500.00;;0.00;;;;;;;
03/05/2023 08:00:00;9496.00;;0.00;;;;;;;
03/05/2023 09:00:00;9494.00;;0.00;;;;;;;
03/05/2023 10:00:00;9490.00;;0.00;;;;;;;
03/05/2023 11:00:00;9487.00;;0.00;;;;;;;
03/05/2023 12:00:00;9484.00;;0.00;;;;;;;
03/05/2023 13:00:00;9478.00;;0.00;;;;;;;
03/05/2023 14:00:00;9475.00;;0.00;;;;;;;
03/05/2023 15:00:00;9470.00;;0.00;;;;;;;
03/05/2023 16:00:00;9468.00;;0.00;;;;;;;
03/05/2023 17:00:00;9465.00;;0.00;;;;;;;
03/05/2023 18:00:00;9462.00;;0.00;;;;;;;
03/05/2023 19:00:00;9462.00;;0.00;;;;;;;
03/05/2023 20:00:00;9461.00;;0.00;;;;;;;
03/05/2023 21:00:00;9466.00;;0.00;;;;;;;
03/05/2023 22:00:00;9466.00;;0.00;;;;;;;
03/05/2023 23:00:00;9468.00;;0.00;;;;;;;
04/05/2023 00:00:00;9470.00;;0.00;;;;;;;
04/05/2023 01:00:00;9470.00;;0.00;;;;;;;
04/05/2023 02:00:00;9471.00;;0.00;;;;;;;
04/05/2023 03:00:00;9471.00;;0.00;;;;;;;
04/05/2023 04:00:00;9471.00;;0.00;;;;;;;
04/05/2023 05:00:00;9467.00;;0.00;;;;;;;
04/05/2023 06:00:00;9462.00;;0.00;;;;;;;
04/05/2023 07:00:00;9457.00;;0.00;;;;;;;
04/05/2023 08:00:00;9457.00;;0.00;;;;;;;
04/05/2023 09:00:00;9455.00;;0.00;;;;;;;
04/05/2023 10:00:00;9455.00;;0.00;;;;;;;
04/05/2023 11:00:00;9458.00;;0.00;;;;;;;
04/05/2023 12:00:00;9457.00;;0.00;;;;;;;
04/05/2023 13:00:00;9454.00;;0.00;;;;;;;
04/05/2023 14:00:00;9454.00;;0.00;;;;;;;
04/05/2023 15:00:00;9453.00;;0.00;;;;;;;
04/05/2023 16:00:00;9448.00;;0.00;;;;;;;
04/05/2023 17:00:00;9444.00;;0.00;;;;;;;
04/05/2023 18:00:00;9438.00;;0.00;;;;;;;
04/05/2023 19:00:00;9442.00;;0.00;;;;;;;
04/05/2023 20:00:00;9440.00;;0.00;;;;;;;
04/05/2023 21:00:00;9445.00;;0.00;;;;;;;
04/05/2023 22:00:00;9446.00;;0.00;;;;;;;
04/05/2023 23:00:00;9445.00;;0.00;;;;;;;
05/05/2023 00:00:00;9447.00;;0.00;;;;;;;
05/05/2023 01:00:00;9448.00;;0.00;;;;;;;
05/05/2023 02:00:00;9451.00;;0.00;;;;;;;
05/05/2023 03:00:00;9453.00;;0.00;;;;;;;
05/05/2023 04:00:00;9456.00;;0.00;;;;;;;
05/05/2023 05:00:00;9457.00;;0.00;;;;;;;
05/05/2023 06:00:00;9459.00;;0.00;;;;;;;
