Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
52698000;17-04/2023 16:00:00;4534.00;;0.00;;;;;;
52698000;17-04/2023 17:00:00;4717.00;;0.00;;;;;;
52698000;17-04/2023 18:00:00;4734.00;;0.00;;;;;;
52698000;17-04/2023 19:00:00;4734.00;;0.00;;;;;;
52698000;17-04/2023 20:00:00;4733.00;;0.00;;;;;;
52698000;17-04/2023 21:00:00;4733.00;;0.00;;;;;;
52698000;17-04/2023 22:00:00;4733.00;;0.00;;;;;;
52698000;17-04/2023 23:00:00;4732.00;;0.00;;;;;;
52698000;18-04/2023 00:00:00;4732.00;;0.00;;;;;;
52698000;18-04/2023 01:00:00;4731.00;;0.00;;;;;;
52698000;18-04/2023 02:00:00;4730.00;;0.00;;;;;;
52698000;18-04/2023 03:00:00;4730.00;;0.00;;;;;;
52698000;18-04/2023 04:00:00;4729.00;;0.00;;;;;;
52698000;18-04/2023 05:00:00;4729.00;;0.00;;;;;;
52698000;18-04/2023 06:00:00;4728.00;;0.00;;;;;;
52698000;18-04/2023 07:00:00;4728.00;;0.00;;;;;;
52698000;18-04/2023 08:00:00;4728.00;;0.00;;;;;;
52698000;18-04/2023 09:00:00;4608.00;;0.00;;;;;;
52698000;18-04/2023 10:00:00;4562.00;;0.00;;;;;;
52698000;18-04/2023 11:00:00;4546.00;;0.00;;;;;;
52698000;18-04/2023 12:00:00;4538.00;;0.00;;;;;;
52698000;18-04/2023 13:00:00;4535.00;;0.00;;;;;;
52698000;18-04/2023 14:00:00;4532.00;;0.00;;;;;;
52698000;18-04/2023 15:00:00;4532.00;;0.00;;;;;;
52698000;18-04/2023 16:00:00;4531.00;;0.00;;;;;;
52698000;18-04/2023 18:00:00;4530.00;;0.00;;;;;;
52698000;18-04/2023 19:00:00;4530.00;;0.00;;;;;;
52698000;18-04/2023 20:00:00;4529.00;;0.00;;;;;;
52698000;18-04/2023 21:00:00;4529.00;;0.00;;;;;;
52698000;18-04/2023 22:00:00;4529.00;;0.00;;;;;;
52698000;18-04/2023 23:00:00;4529.00;;0.00;;;;;;
52698000;19-04/2023 00:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 01:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 02:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 03:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 04:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 05:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 06:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 07:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 08:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 09:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 10:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 11:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 12:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 13:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 14:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 15:00:00;4527.00;;0.00;;;;;;
52698000;19-04/2023 16:00:00;4528.00;;0.00;;;;;;
52698000;19-04/2023 17:00:00;4530.00;;0.00;;;;;;
52698000;19-04/2023 18:00:00;4530.00;;0.00;;;;;;
52698000;19-04/2023 19:00:00;4530.00;;0.00;;;;;;
52698000;19-04/2023 20:00:00;4529.00;;0.00;;;;;;
52698000;19-04/2023 21:00:00;4529.00;;0.00;;;;;;
52698000;19-04/2023 22:00:00;4529.00;;0.00;;;;;;
52698000;19-04/2023 23:00:00;4688.00;;0.00;;;;;;
52698000;20-04/2023 00:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 01:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 02:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 03:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 04:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 05:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 06:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 07:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 08:00:00;4690.00;;0.00;;;;;;
52698000;20-04/2023 09:00:00;4662.00;;0.00;;;;;;
